003_01_00_005_24|だーかーらぁ～。　だーりんはこれから、私とデートするんですよ。デート
608_28_21_046_24|清楚な感じもいいですしー。　やーん、こっちのフリルも気になりますー
608_28_21_057_24|そうそう、完璧ですよー。　それじゃ、早速、ご本人に登場してもらいましょう。　どうぞー
608_28_21_062_24|だーりんの好みにあってよかったですー。　ベースは私と狂三さんで選んだんですよぉ
608_28_21_072_24|私もですー。さて、もちろん、　鞠亜ちゃんにピッタリの服をコーディネートした私たちにも、　だーりんからのご褒美が出るんですよね？
608_29_21_006_24|えーとぉ。それなら私はー、　このスペシャルアフタヌーンティーセットですかねー
608_29_21_007_24|むー。じゃあ、こっちのパンケーキセットにします
608_29_21_026_24|今日は六人いますから、　六種類までいけますよー
608_29_21_032_24|私のパンケーキもどうぞー
608_29_21_038_24|そうですそうですー。　私もこれで鞠亜ちゃんとお友達ですよー
608_29_21_043_24|それで、この後はどうするんですかー？　他のお店を見て回ったりします？
608_29_21_049_24|今日は楽しかったですー。　鞠亜ちゃんも、また一緒に遊びましょうね。　なんだったらだーりんのいない時でもいいですよー
609_12_21_013_24|それよりー、はやく食べないと、　せっかくだーりんと鞠亜ちゃんが作ったご飯、　冷めちゃいますよぉ
609_12_21_018_24|だーりん、今日も美味しかったですー。　じゃあ、朝ご飯も食べましたし～……　今日は、私とデートですねぇ～
609_12_21_030_24|そんなのありましたっけー？　だーりんと誰がデートに行くかですけどぉ。　今日こそは、二人っきりで出かけたいですよねー
609_12_21_045_24|確かに、大事な勝負をするときの目をしていますねー。　だから、今日は……じゃなくて、今日も鞠亜ちゃんを　ちゃんとエスコートしてあげてください
609_15_21_055_24|こんなにみんな揃ってるんですからー　心配いらないと思いますよぉ。　だーりんも鞠亜ちゃんもー、私が守りますからぁ
609_15_21_057_24|はいー。もちろん、だーりんと可愛い女の子のためですから、　頑張っちゃいますよぉ！
609_16_21_029_24|なーんだ。　それじゃあ、楽勝じゃないですかぁ
609_16_21_031_24|だってー、よく考えてみてくださいよぉ。　本当に限度なく複製を作り出せるなら、　わざわざ本体が隠れる必要ありませんよねー？
609_16_21_032_24|それでも身を隠すってことは、私たちに負ける可能性が　あるって思ってるんじゃないですかー？
609_19_21_002_24|そうですねー。　数は多いし、攻撃の種類も多くて　面倒くさいですよぉ
609_19_21_005_24|狂三さんはそうかもしれませんけどー　わたしは別に、そんなことないと思いますぅ
609_19_21_007_24|それ、狂三さんには一番言われたくないですねー。　常に余裕しゃくしゃくって感じですもん
609_19_21_011_24|ええ、まったくですよぉ。　ちょっとじゃれあってるのも待てないなんて、　あわてんぼうさんなんですねー
609_19_21_013_24|ええ、もちろん。　さてー、偶然ながら、私たちが一緒になったことですしー
609_19_21_016_24|そんなに大勢いても、意味ないんですよー。　だってほらー、　〈[破軍歌姫*ガブリエル]〉――【[独奏*ソロ]】
609_19_21_018_24|あら残念、　この空間だと、洗脳まではできないみたいですねー
609_19_21_027_24|あのー、狂三さんー。　ちまちま潰してると、時間がいくらあっても足りないですよぉ
609_19_21_032_24|動いちゃ駄目ですよー？　〈[破軍歌姫*ガブリエル]〉――【[独奏*ソロ]】
609_19_21_034_24|仕方がないですねー。　じゃあ、ちょっとだけですよ？
609_19_21_037_24|無駄だと思いますよー？　〈[破軍歌姫*ガブリエル]〉――【[輪舞曲*ロンド]】
609_19_21_041_24|ええ、狂三さん。そうしましょうー。　フィナーレです！
609_21_21_060_24|ゾンビみたいで気持ち悪いですねー。　……っていうか、これちょっと、やばいですよぉ
609_21_21_062_24|……そうかもしれませんけど、　このまま何時間とかはもちませんよ？
609_21_21_064_24|そうですね……だーりんがなんとかしてくれるはずです
609_21_21_066_24|はい！　いっきますよぉー！
609_21_21_168_24|はい、もちろんですよー。　私の〈[破軍歌姫*ガブリエル]〉で、タイミングを合わせますー
609_21_21_175_24|任せてくださいー。　〈[破軍歌姫*ガブリエル]〉――【[行進曲*マーチ]】！！
901_00_00_040_24|うふふー、さっきまでみんなで一緒にお買い物してたんですぅ。　私たちの可愛さに魚屋さんがいーっぱいおまけしてくれたん　ですよー
901_00_00_042_24|まぁまぁいいじゃないですかぁ。　だーりんだったらそれくらいすぐわかっちゃいますって。　ね、だーりん？
901_00_00_048_24|だーりんやみなさんと一緒なら大歓迎ですぅ！　何が何でも行きますからね！
901_02_01_039_24|うふふ、おめでとうございますー、凜祢さん！　いない間、とっても寂しかったですよぉ
901_02_01_043_24|あ、それはナイスアイディアですよ、十香さん！　こう、立食パーティ的な……
901_02_01_057_24|あ、みなさーん！　置いていかないでくださいよぉ！
901_03_04_009_24|もう～、さり気なく下校してる生徒を見てたら、　だーりんってばいつもの人波の中にいないんですもん。　困っちゃいましたよ～
901_03_04_012_24|うふふ、こんにちわ琴里ちゃん。　相変わらず可愛らしいですー
901_03_04_014_24|当然のことを言ったまでですよぉ。　抱きしめてしまいたいくらいですー
901_03_04_017_24|ええー、せっかく待ってたのにー。　私も連れてってくださいよぉ
901_03_04_019_24|やったぁ、嬉しいですぅ。　それで、行くところは決まってるんですかー？
901_03_04_020_24|私はぁ、だーりんと一緒ならどこでもいいのでー
901_03_04_022_24|はーい。それじゃだーりん、出発ですー！
901_03_04_025_24|私は大歓迎ですよぉ。だーりんに愛情込めた歌を届けます♪
901_03_04_027_24|が、がーん！　私の腕の見せどころが……
901_03_04_029_24|あ、それいいですねー。賛成ですー
901_03_04_030_24|ナイスアイディアですよ、だーりん。あそこ、ダーツとか　ビリヤードとかボウリングとか、色々できるんですよねー
901_03_04_032_24|はーい、賛成でーす
901_03_04_034_24|んー、そこそこですかねー。下手ではないと思いますー
901_03_04_036_24|琴里ちゃんはどうなんですかー？
901_03_04_038_24|だーりんとの対決に燃える琴里ちゃん、可愛いですぅ。　それじゃ私と琴里ちゃんはチームを組んで、打倒だーりんを　目指しましょうねぇ
901_03_04_044_24|大丈夫ですよ、琴里ちゃん。私が仇を討ちますからねー！
901_03_04_045_24|細かいことはいいんですよぉ。いっきますよー！
901_03_04_046_24|！！　……あっ！？
901_03_04_047_24|あー、回転かけ過ぎちゃいましたー……
901_03_04_049_24|ごめんなさい、琴里ちゃん。失敗しちゃいましたー。　次は必ず入れますからね！
901_03_04_050_24|次はだーりんの番ですよー
901_03_04_052_24|安心してください、琴里ちゃん。最後はキリッと決めるのが、　アイドルですからねー！
901_03_04_053_24|はい！　でも、こういうときに勝つのは女の子です♪　せい！
901_03_04_055_24|これは、いい感じですー
901_03_04_056_24|よーし、まずは八本です！
901_03_04_058_24|やりましたよ、琴里ちゃん！　スペアですー
901_03_04_060_24|――任せてください！　いっきまっすよー！　えーいッ！
901_03_04_061_24|これは……見えました！
901_03_04_063_24|えへへ、やりました！　やりましたよぉ、琴里ちゃん！
901_03_04_065_24|うふふぅ、だーりんには何をしてもらいましょうかねぇ……
901_03_04_067_24|はい、とっても楽しめましたよー。　今度は違う遊びもしてみたいです
901_03_04_069_24|そうですねぇ……スポーツするなら、人数も多い方が　いいですよー。　今度は十香さんや凜祢さんたちも連れて、一緒に遊びましょうー
901_03_04_073_24|確かにそれっぽいですねー……ふふ
901_03_04_075_24|あぁん、琴里ちゃん！　ちょっと待ってくださいよぉ！
901_04_01_002_24|四糸乃ちゃん、今日も可愛いですねー。　一週間でどの日が一番可愛いんですかー？
901_04_01_035_24|凜祢さんとは目があった瞬間からお友達ですよぉ。　とーっても可愛い女の子ですしー
901_04_01_055_24|四糸乃ちゃん、琴里ちゃん。　これ、焼いておきましたからねー
902_01_02_018_24|おはようございますー。　だーりんや可愛い女の子たちと朝から一緒にご飯だなんて……　最高ですぅ！
902_01_02_032_24|なるほどー。さすが耶倶矢さん！　それならまだまだ食べられそうですねー
902_01_02_034_24|もちろん、耶倶矢さんが言った通りですよ？　だって時間を超越しているんですから、消化の時間とかも自在に　決まってるじゃないですかー
902_01_02_037_24|はーい。うふふ、耶倶矢さんのそういう顔も可愛いですよぉ
902_02_08_009_24|ぱ、パパぁ！？　もしかしてだーりん……この子、だーりんの……隠し子！？
902_02_08_011_24|あらもぅ……だーりんったら小さい頃からエッチさんなんです　からぁ
902_02_08_013_24|とのまちさん？　どなたです？
902_02_08_014_24|へぇ、そうなんですかー。　それにしてもとぉっても可愛い子ですねぇ！
902_02_08_020_24|うふふ、良い子良い子ー。　そうだ、これから一緒にカラオケにいきませんかー？
902_02_08_022_24|あらー、ありがとうございますー。夕弦さんもＯＫですよね？
902_02_08_024_24|あー、夕弦さんずるいですー
902_02_08_031_24|はいー、楽しみにしてますからねー！
902_02_08_033_24|あ、それ賛成ですー！　みんなの方がもっともっと楽しいですよー
902_02_08_035_24|ばいばい凜緒ちゃーん。また会いましょうねー！
902_02_08_040_24|だーりん、今凜緒ちゃん何て言ったんですー？
900_00_00_154a_24|え、なんでしがみついてるんですかぁ？　なんで堕ちてないんで　すかぁ？　なんで死んでないんですかぁ？
900_00_00_154b_24|可及的速やかにこのステージからこの世界からこの確定時空から　消え去ってくださいよぉ
900_00_00_158_24|だからぁ――勝負をしましょうよー。そうですね……せっかくで　す、今度の天央祭一日目で来禅が最優秀賞を取ったら、私の霊力　を封印させてあげる、というのはどうですー？
900_00_00_162_24|やめてよ……わ、私は勝ったもん……ちゃんと勝ったもん！　あの子たちが……あの子たちがちゃんとしてないから！
900_00_00_164_24|仲間？　絆……？　教えてあげます。　そんなもの、私の前では無意味だって……ッ！
900_00_00_174_24|何言ってるんですかぁ……？　そんなの、結局何も変わらないじゃ――
900_00_00_184_24|ふん、情けないですねー。　〈[覇軍歌姫*ガブリエル]〉――【[独奏*ソロ]】！
900_00_00_187a_24|……っ、勘違いしないでもらえますぅ？
900_00_00_187b_24|私、どこかの不愉快な自殺志願者が勝手にぺらぺら垂れ流してい　た妄言にも満たない聞き苦しい奇声なんて、これっっっっっっっ　ぽっちも気にしてませんしぃ
900_00_00_188_24|ここに来たのは、もう一人の精霊さんを私のコレクションに　加えようと思ったからですしー
900_00_00_203_24|ぁにを、やっぇ――
900_00_00_212_24|！　来てくれたんですね、だーりんっ！
900_00_00_215_24|……たとえこの『声』を失っても。みんなが私の歌を聴いてくれ　なくなっても。――あなたがいるなら、それで、いい。もしその　ときは……あなたのためだけに、歌ってあげます
