Ri05_06_001|士道！　戻ってこれたの
003_02_05_016_05|そうね。少なくともあの場は誰かを選んで、　最低でもその精霊の好感度を確保すべきところね
003_02_05_017_05|あとでフォローすればいいでしょ。　男らしくバシッとその場を収めることができれば、　他の娘だって士道のことを見直す可能性があるじゃない
003_02_05_018_05|少なくとも全員から芋引いて逃げ出すなんて最悪の選択よ。　ゾウミジンコモドキ以下だわ
003_02_05_019_05|うるさいわね。そんなことはどうでもいいのよ。　いいから反省しなさい！
003_02_05_020_05|いいわね士道。今度逃げ帰ってきたら　鼻に落花生詰めて新記録にチャレンジするわよ
003_02_05_021_05|……何よ？
003_02_05_022_05|今さら言い訳をしようっての？
003_02_05_023_05|ふんっ。ならなんだって言うのよ。　くだらないこと言ったら蹴りあげるわよ
003_02_05_024_05|……んなっ！？
003_02_05_025_05|だ、だから……何だって言うのよ？
003_02_05_026_05|な、ななな……
003_02_05_027_05|な、なななな……
003_02_05_028_05|あなたね！　な、何言ってんのよ、士道のくせに！
003_02_05_029_05|馬鹿じゃないの！　都合のいい言い訳してるんじゃないわよ！
003_02_05_030_05|わ、私は、べ……別にデートなんて必要ないわ
003_02_05_031_05|いいの！　大丈夫なの！　私のことは気にしなくてよし！　私はいつだって士道のこと……
003_02_05_032_05|な、なんでもないわよ！　もう帰りなさい！　仕事の邪魔よ！
003_02_05_033_05|いいから！　家の近くに降ろしてあげるから、　さっさと帰って夕飯の支度でもしなさいよ
003_02_05_034_05|ふんっ……別にいいわよ
004_00_00_013_05|そういうわけにもいかないのよね
004_00_00_014_05|今度の『マイ・リトル・シドー２』は、　スーパーシミュレイテッドリアリティ恋愛ゲームなのよ
004_00_00_015_05|シュミレイテッドじゃなくて、シミュレイテッドね。　今度間違えたら、踏みにじるわよ
004_00_00_016_05|――それはともかく、ようするにバーチャル体感ゲームなのよ。　処理が複雑で通常のコンピューターでは制御できないの
004_00_00_017_05|だから〈フラクシナス〉に搭載されたスーパーコンピューターが　必要ってわけ
004_00_00_019_05|こういうのはね、実際にやってみないとわからないことの方が　圧倒的に多いわ。今日はその辺も含めてのテストなの
004_00_00_020_05|うだうだいってんじゃないわよ。　仮想空間での役割を犬にするわよ？
004_00_00_022_05|それじゃ早速だけど、そこに座ってちょうだい、士道。　設定は令音がやってくれるから、あなたは楽にしてていいわ
004_00_00_034_05|はいはい、じゃれてないでとっとと始めるわよ
004_00_00_037_05|どうかしたの、令音
004_00_00_089_05|十香、邪魔しないの。　これはゲームなんだから
004_00_00_095_05|あいたたた……。　ぶつかっちゃった……。　――あ、おにーちゃん！
004_00_00_096_05|遅刻しそーだから、パン咥えて走ってたんだよ。　そしたら、偶然、おにーちゃんとぶつかっちゃったの！
004_00_00_098_05|う、うん……ごめんね、おにーちゃん。　でも、こんな風に曲がり角でぶつかるなんて……。　ちょっとドキドキしちゃうね
004_00_00_099_05|う、ううん！　なんでもない！　じゃあおにーちゃん、　また後でね！
005_00_00_002_05|……シャットダウンした！？　ちょっと令音、どういうことなのよこれ！？
005_00_00_005_05|外部からモニタリングできないだけで、　中ではシミュレータが動いてる？　こっちだけ切り離されたってこと！？
005_00_00_007_05|……想定外のトラブルね。　士道はどうなってるの？
005_00_00_009_05|士道と会話はできないの？
005_00_00_011_05|……仕方ないわ。　多少危険性はあるけど、士道を強制ログアウトさせて。　このままの方がよっぽど危険だわ
005_00_00_013_05|どうしてよ！　このままにはしておけないでしょう！
005_00_00_015_05|……それじゃあ、シミュレータの強制停止はどう？　装置そのものの電源が落ちれば……
005_00_00_017_05|なんなのよそれ！　プログラムにバグがあった……？　いいえ、それにしたっておかしすぎる！
005_00_00_019_05|もしかして、外部からの干渉……　その可能性があるってこと……！？
005_00_00_021_05|でも〈フラクシナス〉がハッキングでもされたっていうの！？　それも誰にも気付かれずにだなんて……不可能よ！！
005_00_00_024_05|……いずれにせよ、今は原因の究明より、　士道を戻すことを考えるべきね
005_00_00_025_05|ログアウトもシミュレータの停止も、　コマンドが効かないっていうなら、　物理的に装置から離すしか……
005_00_00_028_05|それは……くっ
005_00_00_029_05|……まったく、どうしてこう士道は！　次から次へとトラブルに巻き込まれて……！
005_00_00_041_05|そうね……自分の前でこんなことが起きたんだもの。　無理もないわ
005_00_00_042_05|でも、士道が動けない状態で、彼女たちが暴走したら、　対処する方法がないわ。　本格的にやばくなる前に、士道をなんとかしないと
005_00_00_044_05|そっ、そんなんじゃないわよ！　私はあくまでも、司令としてね！
005_00_00_046_05|……わかった
005_00_00_047_05|……無理矢理起こしてしまえば、　士道の精神がどうなるかわからないってこと。　とりあえず現状、士道は大丈夫よ
005_00_00_052_05|何かわかったの令音！？
005_00_00_060_05|人間じゃないなら、決まってるでしょ。　ようするに、未確認の精霊の仕業……そういうことね
005_00_00_064_05|どういうこと？
005_00_00_068_05|人工的な精霊……っていう可能性は？
005_00_00_070_05|ええ。霊力を持ったデータ体として侵入した……　これなら、〈フラクシナス〉のセキュリティを抜けられた　理由もわかるわ
005_00_00_072_05|ふん、当然よ。　とにかく、これで少し糸口が見えてきたわ
005_00_00_073_05|これはもう戦争よ。　――そいつと私たちの[戦争*デート]だわ
005_00_00_075_05|ええ。見た目も少し人間離れしていたし、　その可能性が高いわね。く、まんまとやられたわ……
005_00_00_076_05|とっつかまえて、永遠にマインスイーパーしかできない牢獄に　閉じ込めてやりましょう
005_00_00_078_05|でしょう。地雷九十パーセント増しの特別仕様よ。　――とにかく
005_00_00_080_05|頼んだわよ
005_00_00_081_05|それにしても、このタイミングでのクラッキングだなんて……。　まさか、『マイ・リトル・シドー２』のテストプレイを狙って？　いや、これは突発で決まったことだし……さすがに考え過ぎか
007_00_00_002_05|どうしたの令音。　何か、状況に変化があった？
007_00_00_004_05|向こうから……って！　それって、あの精霊――人工精霊と仮称するわね。　彼女から、コンタクトを取ってきたってこと……！？
007_00_00_006_05|何よこれ、　『五河士道を愛するために、こちらへ来てください』　……これだけ？
007_00_00_008_05|アクセス、って……。　つまり……士道と同じように、電脳空間に行けってこと？
007_00_00_010_05|……どういう基準なのかしら。　士道が封印した精霊……いえ、狂三や鳶一折紙が入っているし、　そういうわけじゃないみたいね
007_00_00_012_05|……なるほどね
007_00_00_015_05|……そういうことなのかしらね
007_00_00_016_05|鳶一折紙はともかく、　精霊をおびき出して拿捕しよう……っていう罠とも　考えられないかしら？
007_00_00_018_05|……でも、士道を助け出すためには、やるしかないってことね
007_00_00_027_05|ま、なるようにしかならないか。　令音、端末の接続に問題はないの？　本来は一人用でしょ？
007_00_00_032_05|罠かもしれないのは承知の上よ。　それでも、あの馬鹿を助けるにはこれしかない。　……〈ラタトスク〉の目的のためには、必要な人材なんだから
007_00_00_033_05|そ、それに……あ、愛っていうなら、　家族である私が、一番……なんだから……
007_00_00_035_05|うるさいわね！　なんでもないわよ！
007_00_00_036_05|でも、全員が必要だとしたら残りの二人――　鳶一折紙と、時崎狂三を連れてこないといけないわ。　折紙はともかく……狂三はどうしたものかしらね
007_00_00_037_05|士道が、今日会っているのよね。　だから、この天宮市にはいるはず……
007_00_00_038_05|――神無月！
007_00_00_042_05|か・ん・な・づ・き？
007_00_00_044_05|……まあいいわ。引き続きお願い。　じゃ、鳶一折紙ね……士道の携帯で電話してみましょう
007_00_00_046_05|残念ながら、士道じゃないわ。　悪かったわね
007_00_00_048_05|この状況から察しているかもしれないけど、　アクシデントがあってね。士道を無事に助けるには、　あなたの協力がひつ――
007_00_00_050_05|……話が早くて助かるわ。　一応、言っておくけど、あなたの身にも、　危険があるわ。命に関わるかもしれない
007_00_00_052_05|……ふーん。　じゃあ、どこか人のいない場所に出てちょうだい。　こっちで捕捉して、案内に向かわせるわ
007_00_00_054_05|……鳶一折紙についてはこれで大丈夫ね
007_00_00_056_05|緊急事態だから、仕方ないわ。　余計な情報を与えないように、地上に機関員を派遣して　目隠しをする必要は出てくるでしょうけれど
007_00_00_057_05|神無月。　……念のため、ここは他と回線を切り離しておいて
007_00_00_059_05|どうしたの？　またくだらないことだったら、　頭の毛をむしって、全部もみあげに移植するわよ
007_00_00_061_05|あぁん！？　なにか言ったかしら？
007_00_00_065_05|……狂三！　あなた、どうして……
007_00_00_067_05|ええ、それはそうだけどね
007_00_00_069_05|……そう。気まぐれみたいだけど助かるわ。　一刻を争う状況でもあるから
007_00_00_071_05|……あなた、本物なの？
007_00_00_073_05|……まあいいわ。　状況を説明するわね。まず――
007_00_00_074_05|――というわけで、仮想世界にアクセスする必要があるの。　正直、向こうの状況も、相手の目的もわからない。　罠である可能性も高いわ
007_00_00_077_05|……そうね。貴方たちの言う通りよ。　――令音、準備して
007_00_00_081_05|わかってる。　まずは相手の目的、正体を探るわ。　その後は……ま、出たとこ勝負ね
007_00_00_082_05|いいじゃない。　ギャルゲーだったら、こっちだって散々やってきてるのよ。　さあ――私たちの[戦争*デート]を始めましょう
008_00_00_002_05|いたわ！　士道、そいつから離れなさい！
008_00_00_003_05|……その子は危険だわ。　このゲームには異常が起きてる。その原因はその子よ。　で、私たちは、そいつに呼び出されて来たわけ
008_00_00_017_05|……どういうことなの？　あなたが、私たちを、士道を愛……、　ええと、とにかく、呼び出したんじゃないの？
008_00_00_019_05|そうよ。　ここにいる全員ね。　メンバーも、わざわざ、そっちから指定があったわ
008_00_00_023_05|言っておくけど、私はそういうんじゃないわ。　あなたが目覚めないと、こっちの業務に差し支えるしね
008_00_00_027_05|そうね……
008_00_00_037_05|ま、まぁ、一理あるかもしれないわね……
008_00_00_038_05|そっ、それは……。　首輪をつけさせて、踏みつけた時に喜ぶ……？
008_00_00_039_05|な、何よ！　バッカじゃないの！！
008_00_00_057_05|まあ、元々、そういう世界だからね。　……それに付き合わないと、士道も、私たちも、　この世界から帰すつもりはないってこと？
008_00_00_059_05|だから、あなたが愛について理解するまで、　ここから出られないのかってことよ
008_00_00_062_05|……でも、あなたの存在はイレギュラーよ。　本来、いるはずのないキャラクターなの
008_00_00_063_05|この状況があなたのせいじゃないなら、　なんだっていうの？
008_00_00_065_05|士道はまたそうやって……でも、仕方ないわね。　どのみち、希望はこの子しかない
008_00_00_069_05|仮想世界の時間が加速されていて良かったわ。　何日か閉じ込められても、外では数時間の　経過でしかないはずだし
008_00_00_071_05|この世界でも食事は可能よ。それでなんとかしなさい。　料理は士道がするわ
008_00_00_073_05|……やれやれ。　しばらくは、付き合うしかないようね
009_01_00_001_05|…………
009_01_00_003_05|…………
009_01_00_006_05|……つまり、あの時に、　『新しくゲームスタート』ってことになったみたいね。　ゲーム開始、一日目、ってわけ
009_01_00_007_05|……で、なんであなたがうちにいるわけ？
009_01_00_009_05|士道を見張ってる、ってわけね。　……ま、わかった。　とりあえず、或守の目論見に付き合うって決めたわけだしね
009_01_00_010_05|じゃあ、士道。　とりあえず――朝ご飯にしてちょうだい
009_01_00_011_05|別に、リアルタイムで我が家の冷蔵庫をトレースしているわけ　じゃないから。そのへんの設定は令音がしたんじゃないかしら
009_01_00_013_05|わっ、私は、〈フラクシナス〉の、　つまりはこのシミュレータの責任者だし……！
009_01_00_015_05|ぐ……。　……ほ、他の設定は変えていない、って言ったわよね？
009_01_00_017_05|確かに。　古今東西のギャルゲーの要素が入ってるしね
009_01_00_018_05|もっともあれは、ＮＰＣだったわけだけど。　でも、なるほどね。ベースは変わってないってことか
009_01_00_019_05|そうね。　……いただきます
009_01_00_022_05|普段通りにするしかないでしょ。　学校に行って、授業を受ける
009_01_00_023_05|そうよ。現状ではこの子の要求に応えるしかない。　なら、士道は、この世界で普通に過ごすのが一番よ。　イベントは向こうからやってくるわ
009_01_00_025_05|この子の言う通りに、この世界が大きく変化してないなら、　普通に過ごしているだけで、『それなんてギャルゲ？』　――という生活が送れるわ
009_01_00_026_05|……ま、愛を知るには一番の環境だと、　言えなくもないわね
009_01_00_028_05|お黙りなさい。　ギャルゲーに真実の愛がない、なんて思い込みよ。　……多分。それに、今さら言っても始まらないじゃない……
009_01_00_032_05|……はぁ。　不幸中の幸いは、現状この子が、　私たちに直接的な危害を加える様子がなさそうってことね
009_01_00_033_05|……士道は女の子に甘いから、判断は信用ならないけど。　どのみち、他に脱出方法が見つからない、あるかもわからない、　って現状では、この子の要求に応えるしかなさそうね
009_01_00_034_05|さぁ？　膨大すぎてイベントの詳細までは把握してないもの。　……でも、普段とあまり変わらないんじゃない？
009_01_00_035_05|士道の普段の生活が、　まさにギャルゲーみたいな感じでしょ
009_01_00_036_05|…………
009_01_00_037_05|――とにかく、変な事考えずに普段通りにしてなさい。　嫌でも何かが起こるはずよ
009_01_00_039_05|何言ってるのよ、最初からでしょ
011_03_05_001_05|んあ？　ここ、どこ？
011_03_05_002_05|あ、おにーちゃん！
011_03_05_003_05|おにーちゃんのえっち！　ばか！　へんたい！
011_03_05_004_05|やっぱり見たぁ～っ！　忘れてー！　わーすーれーてー！
011_03_05_005_05|ていうか、なんでこんなところにいるのだ？
011_03_05_006_05|私、帰るー！　うわーん、おにーちゃんのばかぁ！
013_05_00_002_05|……士道、後で部屋にみんなを集めるから。　一回集まって、状況を確認しましょう
013_05_00_004_05|……と、いうわけで。　一日経過したわけだけど、　この世界で、何か気づいたことはある？
013_05_00_006_05|……はい、十香。　言ってみて
013_05_00_008_05|……ああ、そうね
013_05_00_011_05|なんだか要領を得ないわね……
013_05_00_012_05|……なるほど。イベント的なものってわけね。　非日常なシチュエーションで愛を観測か……そうね、　非日常デートってところかしら
013_05_00_013_05|やっぱり、或守が、この世界の支配下に置いている……。　管理者になっているのは、間違いないみたいね
013_05_00_015_05|……。　……いえ、やめておきましょう。　推測通りなら、相手も人工とはいえ、精霊
013_05_00_016_05|しかも、今いるこの世界は、　相手に完全に掌握されていると考えた方がいいわ。　下手に手を出したら、何が起こるかわからない
013_05_00_018_05|あんたに言われると、なんだか腹立つわね
013_05_00_019_05|……ま、今はそんなこと言っている場合じゃないわ。　明日以降も、この世界について、そして、　或守について調査、観察を続けましょう
013_05_00_020_05|じゃあ、解散。　みんな、油断しないように
013_05_05_001_05|しっかりしなさいよね、士道。　それじゃ、いつまでたってもこの世界から抜け出せないわよ
013_05_05_002_05|まあ……或守の望む答えは難しいわね。　元よりその、定義付けが難しいものだし
013_05_05_003_05|どうしたの？　何か思いついた？
013_05_05_004_05|既婚者なんているわけないでしょ。　突然何を言うかと思えば……
013_05_05_005_05|……わからないわね。　うちはそもそも、あんまり家にいないし
013_05_05_006_05|まぁ、とにかく頑張ってちょうだい。　結局、それしかここから出る手段はないんだから
013_05_90_002_05|まぁ、この世界で何をしたらいいかっていうのが、　現時点ではよくわかってないしね
013_05_92_032_05|コップ、ここに置くわよ
013_05_92_033_05|それで、士道。　ちゃんと考えてるんでしょうね？
013_05_92_034_05|もちろん或守の件に決まってるでしょ？　それ以外に何があるっていうのよ
013_05_92_035_05|そうやってずっと受け身でいられるわけじゃないわ。　だいたい今日みたいので、愛の何がわかるのよ
013_05_92_036_05|本当にもう……なんで或守はあんなシチュエーションを……。　愛とかまったく関係ないじゃない……
013_05_92_037_05|それもう完全にバグじゃない。　帰ったら担当者に魔法少女の格好させて、　商店街を一周させてやるわ
013_05_92_053_05|ええ。いい時間だし、今度こそ解散ね
013_05_92_054_05|この世界にいる間は近くにいた方がいいと思って、　しばらくは精霊マンションに住んでもらうことにしたの。　さっき、その辺の話もしてたのよ
013_05_92_055_05|あ、言い忘れてたわ
013_05_92_056_05|さっき士道が部屋にいない間に、　家探しで盛り上がったから、部屋……ちょっと散らかってるわよ
013_05_92_057_05|ほっぽり出すからいけないんでしょ。　自業自得よ
013_06_02_002_05|別にありえることじゃない？　おかしなことってほどでは……
013_06_02_006_05|普通の女の子じゃない自覚があるのね……。　それくらいしか変わりなかったってこと？
013_06_02_008_05|……なるほど。あなたが羞恥心を覚えるなんて、深刻な変化ね。　ていうか士道、あなた何やってるのよ……
013_06_03_002_05|どうしたの、四糸乃？
013_06_03_004_05|何か変わったことがあったら　遠慮なく言っていいのよ？
013_06_04_002_05|何かあったなら、ちゃんと言いなさいよ。　この世界から出るヒントになるかもしれないから
013_06_04_003_05|何それ？　夢でも見たってこと？
013_06_05_001_05|気になるといえばあれだけど……本当に現実だったのかしら？　我ながらこっ恥ずかしいことをしてしまったわ……
013_06_05_003_05|いや、えっと……その……
013_06_05_004_05|――士道、その先を言ったら痛ポエムを白日の下に晒すわよ
013_06_05_006_05|まったく、油断も隙もあったもんじゃないわ
013_06_50_003_05|な、なんですって！？　どういうことなの、士道！
014_01_00_015_05|ちょっとー！　士道、まだ起きないの！？
014_01_00_016_05|朝ご飯まだー！？　或守、士道が起きないなら、　肘でも膝でも股間に落としなさい！
015_02_00_026_05|――で、私が飛び級で高校生、だよ、　おにーちゃん！
015_02_00_027_05|そーなんだよ。学校行ったらさー、　今日から飛び級で、　高校の方に行ってくださいって言われちゃったのだ！
015_02_00_028_05|……まあね。こういう、年齢差があるヒロインを、　無理矢理同じ学校に登場させるのは、　ギャルゲーじゃ『あるある』だからねー
015_02_00_029_05|でも、一回中学行ってから出直すのは面倒だったわ。　――或守、知っていたなら、教えてよ。　そしたら、朝一緒に出たのに……
015_02_00_032_05|……ま、大したことじゃないわ。　要するに、士道の周りに攻略対象を集めようとする。　でも具体的にどういう形になるかは、或守は把握していないのね
015_02_00_034_05|ってことは、ゲーム内のシステムは、　ある程度の独立性を持って、また動いてるってことだわ。　――うん。いい情報をもらったわ
015_02_00_036_05|えー、おにーちゃんと同じクラスがよかったぞ～。　おにーちゃん、強く生きるんだ！
015_02_00_037_05|じゃあ、おにーちゃん、　またあとでね！
015_02_00_095_05|士道ー！　私のお弁当がないんだけど！？
015_02_00_100_05|おにーちゃん、遅いぞ～！　もうみんな、移動して待ってるよ！
015_02_00_101_05|いいからいいから、　こっちだよ、おにーちゃん！
015_02_00_102_05|そーだよ。　みんなで、おにーちゃんとご飯を食べることにしたの！
015_02_00_130_05|なんか席がいっぱいみたいだからなー、　私はじゃあ、おにーちゃんの膝の上に座ろうかな？　愛する妹にあ～んして欲しいでしょ、おにーちゃん？
015_02_05_001_05|どうやら、また起こったみたいね
015_02_05_002_05|まったく、どうせありえないシチュエーションに　放り込まれるなら、私が士道を踏んづけるみたいのを　用意しなさいよ。よりにもよってあんな……
015_02_05_003_05|……ふんっ。まあいいわ。　こうして突然起こるイベントをこなしていくしかないってわけね
015_02_05_004_05|そんなの、来てみないとわからないでしょ。　今から考えるだけ時間の無駄よ。　ま、どんなことが起こってもいいように構えておきなさい
016_03_00_001_05|精霊マンションの方にも、キッチンはあるもの。　そっちで料理して、持ち寄ればいいでしょ
016_03_00_002_05|まーね。いかにもギャルゲー、ってイベントでしょ。　参加した方が、この世界から脱出できる可能性も　高くなるかもだし
016_03_00_003_05|ま、なんとかなるわよ。　それに、もっと不安な子たちがいるんじゃない？
016_03_00_008_05|まあ、このへんは案の定、危ない感じしかしないわね。　あとは……
016_03_00_014_05|……大丈夫そうかと思ってたのに、　意外と駄目そうなのもいるわね
016_03_00_015_05|まあ、八舞姉妹と狂三は自信ありそうだったし、　最悪、死にはしないわよ。　……だってここ、仮想世界だから
016_03_00_016_05|あ、でも、本当に死ぬような目に合うと、　ショック死するかも
016_03_00_017_05|だから大丈夫だって！　士道は死なないんだから、　ちょっと死ぬような思いを味わうだけよ！
016_03_00_027_05|ていうか、十香だって、　毎日士道と同じもの食べてるんだから、　そこは同じなんじゃないの？
016_03_00_034_05|……あなたさっき、　薬局入ろうとしてたじゃない……
016_03_00_043_05|商店街の店に行ったみたい。　あの二人だと、お店の人が親切にしてくれるからね。　入れ知恵してもらう気なんじゃない？
016_03_00_044_05|何年おにーちゃんの妹やってると思ってんのよ。　好みは知り尽くしているわ。任せておきなさいって
016_03_00_047_05|とりあえず、胃薬買っておけば？
016_03_00_057_05|違うわ。それ、或守が作ったみたいね
016_03_00_058_05|いないみたいね……。　どこか、出かけているのかしら
016_03_00_059_05|大丈夫よ。だってここはあの子の世界よ
016_03_00_060_05|ええ、じゃあこっちは片付けておくわね
016_03_00_061_05|ちょっと思ったの。　もしかしたら、士道なら、或守もデレさせることが、　できるかもしれない……ってね
016_03_00_062_05|はいはい、他人にはお兄ちゃんらしいところ全開なんだから。　いってらっしゃい、おにーちゃん
016_03_05_001_05|あ、士道。いいところに来たわ。　ちょっとそこに跪いて、四つん這いになって
016_03_05_002_05|別に馬になりなさいとか足をなめなさいとかは言わないわ。　いいから早くして
016_03_05_003_05|棚の上にしまってあるお皿に手が届かないの。　見ればわかるでしょ？
016_03_05_004_05|何よ？　その格好のまま駄犬として終生を過ごす　誓いをしたかったとかなら、聞いてあげるわよ？
016_03_05_005_05|私だってそう思ってたわよ。　でもジャストタイミングで士道が来るんだもの。　これは妹に踏み台にされたいということでしょ？
016_03_05_006_05|いいから、はい
016_03_05_007_05|いい？　乗るわよ？
016_03_05_008_05|よいしょ、と。えっと……
016_03_05_009_05|妹に踏んづけられる馬の気分はどうかしら、士道？
016_03_05_010_05|……ん、これね。　はい、もう終わったわよ
016_03_05_011_05|助かったわ。もう行っていいわよ
016_03_05_012_05|私のことは別に気にしないでいいわ。　料理はできてからのお楽しみ。はい、散った散った
016_03_90_001_05|まぁ、仕方ないわよ。七人分だもの
016_03_90_014_05|残念だけど、その料理が士道の口に合うとは限らないわよ？　士道の好物は私が一番よくわかってるんだし
016_03_90_016_05|ふふん……これよ！
016_03_90_017_05|な、何よ……？　よく食べてるでしょ？
016_03_90_024_05|確かに夕弦の言う通りよ。　作ってはいけないルールはなかったわ。　ただし、審査には加えないけど
016_03_90_038_05|ちょっと、私のも忘れないでよね。　せっかく作ったんだから
016_03_90_041_05|まあ、こうなるわよね
018_01_00_002_05|士道、これは一体どういう了見なの？　回答によってはただじゃおかないわよ？
018_01_00_004_05|はい、それじゃおにーちゃん？　隣を見てみましょうねー
018_01_00_006_05|ええ、すやすや眠ってるわね
018_01_00_008_05|或守から色々聞き出して欲しいとは思ってたけど、　まさか、こんなやり方をするとはね。　見損なったわ、士道……
018_01_00_009_05|とぼけても無駄よ。　『ぐへへ或守、体に聞いてやるぜ』　ってことでしょう！？
018_01_00_012_05|……なんか、呼び方も変わってるんだけど？
018_01_00_013_05|あなたやっぱり……そういうことなのね
018_01_00_017_05|士道、あなたやっぱり、　無意識のうちに或守を連れ込んで――
018_01_00_022_05|わっ、私は別にそんなこと……
018_01_00_023_05|それは子供の頃の話でしょう！？　今はしないわよ、そんなこと。　この阿呆兄が変な気を起こしたら困るし！
018_01_00_024_05|……ふぅん。　あっそ
018_01_00_025_05|お黙りなさい。それより今は、或守のことよ。　或守も十香みたいに、一緒に寝たいと思ったってこと？
018_01_00_027_05|ないでしょうか……って、自分の行動でしょ？
018_01_00_034_05|行動理由は不明……か
018_01_00_035_05|今までの或守からは、考えにくい行動ね。　……ねえ士道、なんだかあの子、　段々様子が変わってきてると思わない？
018_01_00_036_05|なんにせよ、変化があるのは悪くないわ。　ここから脱出する手がかりになるかもしれないしね
018_01_00_037_05|現状、ここから出るためには、　或守の要求――『愛を教える』に応える必要がある。　でも、それが可能なのかも、わからない
018_01_00_038_05|ただ、或守が予想通りに人工精霊で、　そして、精霊の力でこの電脳空間を支配しているなら、　もうひとつ手がある
018_01_00_039_05|精霊をデレさせる――っていう、ね
018_01_00_040_05|かもね。　だとしても、デレさせれば、　説得することも可能になるでしょう
018_01_00_041_05|なるべく、或守の言うことには応えてあげなさい。　……でも、今朝みたいなのは許さないからね。　健全にいきなさい
018_01_00_042_05|頼んだわよ。　――じゃ、早く着替えて、　朝ご飯お願いね、おにーちゃん
018_01_00_051_05|私も賛成よ。　今までと大きく変わるわけじゃないしね
018_01_00_052_05|士道、今朝言ったこと、忘れないようにね
018_01_00_053_05|士道って本当にお人好しよね。　ま、そこが――
018_01_00_054_05|……なんでもないわ
019_02_92_016_05|あ、おにーちゃん。まだ見ちゃ駄目だぞ
019_02_92_017_05|もう、うるさいおにーちゃんだなー
019_02_92_018_05|しょーがないなー
019_02_92_019_05|全く士道、あなたどういうつもりなの？
019_02_92_020_05|或守を放って何をやってるのって聞いてるの
019_02_92_021_05|或守はあなたを中心にした様子を観察してる。　それはわかってるわよね？
019_02_92_022_05|それなら、なるべく近くに置いておくべきよ。　それに、問題が起きたときに士道が対処すれば、　もしかしたら好感度が上がるかもしれないじゃない
019_02_92_023_05|まあいいわ。　とりあえず或守を連れて来なさい
019_02_92_024_05|わかったよ、じゃない。　士道、折角だからあなたにもこういう時の心構えについて、　もう一度話しておかないと
019_02_92_026_05|どうかしたじゃないでしょ。　もう、とりあえず色々教えてあげるからそこ座りなさい
019_02_92_027_05|まぁ、貸しといてあげるわよ。　今度はちゃんと自分でどうにかしなさいよ
019_02_92_028_05|わかればよろしい
019_02_92_030_05|何うなだれてんのよ。　さっさと行って来なさい
021_04_05_001_05|あ、あら、士道。　お、お帰りなさい……。　……！
021_04_05_002_05|あ、あのね、士道……
021_04_05_003_05|わ、わかってるわよ。　それに、私だって、恥ずかしいもの……
021_04_05_004_05|……そっちがその気なら、　しばらく士道には士織でいてもらってもいいのよ
021_04_05_005_05|ふん、わかればいいのよ。　……それで、或守はどうしたの？
021_04_05_006_05|帰ってないわ。一緒だと思ってたんだけど
021_04_05_007_05|ま、待ちなさい。　とりあえず、私も一緒に行くから
021_04_05_008_05|それで、どうなの？
021_04_05_009_05|何が、じゃないわよ、まったく……。　或守に愛を教えるってやつよ。　ちょっとは進展あったかって聞いてるの
021_04_05_010_05|ていっ！
021_04_05_011_05|そんな顔してないで、もっと自信持ちなさい。　教える側がそんなんじゃ、伝わるものも伝わらないでしょう
021_04_05_012_05|わからないならわからないなりに、せめて堂々としてなさい。　勢いと根拠の無い自信だけが士道の武器なんだから
021_04_05_013_05|そうやって今までも、上手くやってきたんでしょう？　ずっと傍で見てきた私が言うんだから、間違いないわ。　士道は自分が信じたことを貫き通しなさい
021_04_05_014_05|ふん、わかったらさっさと或守を見つけて帰るわよ
021_04_05_020_05|な、何してるの士道！？　いつまでくっついてるつもり！？　早く離れなさい！
021_04_05_021_05|う、うるさい！　それはそれ、これはこれよ！　或守も、することがすんだなら帰る！　いいわね？
021_04_05_024_05|ほら
021_04_05_025_05|……言わなくてもわかるでしょ
022_01_00_002_05|遅いわよ、士道。　もう食べ始めてるわよ
022_01_00_004_05|……えーと、ドイツ人かしらね
022_01_00_038_05|ちょっと、いい加減にしなさいよ！　そういうのは妹の特権って決まってるでしょ！
023_02_00_008_05|それなら、こうしましょう
023_02_00_009_05|みんなでカラオケに行きましょう。　カラオケならこの大人数でも全員が参加できると思うわ
023_02_00_018_05|ね、悪くない話でしょ？
023_02_00_019_05|馬鹿ね。それは、逆よ。　歌がいいと思ったから、カラオケにしたの
023_02_00_020_05|歌なら或守にも理解はできるけど、　体験したことがない事柄でしょ
023_02_00_021_05|体験してみることによって、　彼女の心にも何か変化が起きるんじゃないかと思ったの。　月並みな話だけどね
023_02_00_032_05|なあにやり遂げたような顔になってるのよ。　ちょっと来なさい
023_02_00_033_05|よかったじゃないか、じゃないわよ。　漫然と楽しんでないで、しっかり精霊たちのフラグ立てて、　イベント進めてきなさいって言ってるの
023_02_00_034_05|気張ってきなさい
023_02_00_080_05|え、ええ！？　……わ、私？
023_02_00_081_05|私のことは気にしなくていいわ。　十香や四糸乃と一緒に歌ってきてあげなさいよ
023_02_00_082_05|士道……。　そ、そこまで言うなら、いいわよ。　歌ってあげるわ
023_02_00_083_05|……ん、何か言った？
023_02_00_084_05|士道……どんな曲でもついてきてくれるでしょう？
023_02_00_085_05|面白い……！　見せてもらおうじゃない！
023_02_00_086_05|これが、私の……
023_02_00_087_05|スーパーメドレー！
023_02_00_088_05|なんだ、もう終わりなのか？　まだワンセットだぞ
023_02_00_089_05|せっかくマイク持ったんだし、　もうワンセットくらいいきたいのだ。　なに、十香も歌いたいのか？　いいのだ
