Ri01_06_001|心配したぞシドー！　大事はなかったか？
K01_00_057|ん、そっちか！？　心得た！
K01_00_058|シドー、さっきより具合が悪そうだが……本当に平気か？
K01_00_059|ああ、また必要になったらいつでも言ってくれ！
K01_00_060|遅いぞシドー！　[朝餉*あさげ]はまだか？
K01_00_061|む？　シドー……昨日、鳶一折紙と何かあったのか？
K01_00_062|本当か？
K01_00_063|そうか、何もないなら良いのだ！
K01_00_064|おー！　[朝餉*あさげ]だ！
K01_00_065|シドー！　まだかー！？
K01_00_066|シドー、早くしてくれ！
K01_00_067|遅いぞ、シドー！
K01_00_068|ん？
RK01_00_001|凜祢、おはようだ！
K01_00_069|凜祢、おはようだ！
K01_00_070|し、シドー！　待つのだー！
003_01_00_001_01|これは一体、どういうことなのだシドー。　説明してもらおう！
003_01_00_015_01|やはりそうか！　ではシドー、私とデェトするのだ！
003_02_01_003_01|おぉ！　そういえばそうだったな、シドー！　確かにシドーはきなこパンを食べさせてくれると言っていたぞ！
003_02_01_010_01|ん？
003_02_01_011_01|何っ！？
003_02_01_012_01|うむ。やはりきなこパンは最高だな
003_02_01_013_01|なに！？　これを全部食べてよいのか？
003_02_01_014_01|だ、だがシドーもきなこパンが食べたかったのではないのか？　わざわざ走って商店街に来たというのに……
003_02_01_015_01|む……そうなのか？　で、では……なぜだ？
003_02_01_016_01|私を……その、選んでくれたのだろう？　別に約束は今日でなくとも……
003_02_01_017_01|約束していたからか？
003_02_01_018_01|……どういうことなのだ？　よくわからんのだが……
003_02_01_019_01|む？
003_02_01_020_01|うむ！　あの頃は四糸乃も耶倶矢も夕弦も美九もいなかったな！
003_02_01_021_01|あ、あれはメカメカ団の奴らがだな……
003_02_01_022_01|でも、シドーが教えてくれたのだ。　私も人間も変わらないのだと
003_02_01_023_01|このきなこパンも、シドーが教えてくれたのだ！
003_02_01_024_01|うむ！　最高なのだ！
003_02_01_025_01|シドーは私が一番最初に出会った精霊だから、　選んでくれたのだな
003_02_01_026_01|……っ！？　わ、私しかっ……いなっ……！？
003_02_01_027_01|ななな、なんでもないっ。　う、うむ……きなこパンはうまいな！
003_02_01_028_01|わ、私はおかしではないぞ、シドー！　おかしは、むしろきなこパンの方だ
003_02_01_029_01|ん？
003_02_01_030_01|でも、ありがとう、シドー。感謝する
003_02_01_031_01|そ、そうではなくてだな……！　そ、その……私をだな……っ！　…………むぅ
003_02_01_032_01|なんでもないっ！！　よし、帰って[夕餉*ゆうげ]にするぞ、シドー！
003_02_01_033_01|うむ！
003_02_02_005_01|シドー！　よりにもよって鳶一折紙とは！　私とデェトする方が絶対楽しいぞ！
003_02_03_004_01|シドー！　いつまで待たせる気だ！　早く私と一緒に行くのだ！
003_02_03_010_01|ま、待てシドー！
003_02_04_004_01|シドーは私とデェトするのだ！　な、そうだろうシドー
003_02_04_007_01|待つのだシドー！
003_02_05_004_01|シドー！　きなこパンを食べに行くぞ！　シドーも食べたいだろう？
003_02_05_009_01|待つのだシドー！
003_02_10_004_01|ぬぬ、シドー……逃げるとは卑怯だぞ
003_02_10_014_01|見つけたぞ、シドー！
003_02_10_017_01|待つのだ、シドー！
003_02_11_004_01|何を言っているのだ。シドーは私を選ぶに決まっているだろう
003_02_24_004_01|シドー！　私とデェトするのだ！　デェトデェト！
003_02_28_004_01|駄目だ！　シドーは私とデェトするのだ！
003_02_28_015_01|シドー！
003_02_28_016_01|どうしたのだ、シドー！　いきなり走り出したりして
003_02_50_003_01|どうして八舞を選ぶのだ、シドー！　食べ物なのか？　何か食べ物で買収されたのだな！？
003_02_59_004_01|なぬ、ケーキ屋！？　それはよいことを聞いたなシドー！　私とそのケーキ屋に行こう！
003_02_59_021_01|ぬ……なんだかいつものシドーとは違うな……
004_00_00_005_01|うむ！
004_00_00_011_01|ゲェム？　ゲェムをするためにわたしたちは呼ばれたのか？
004_00_00_024_01|ん、私たちはどうすればいいのだ？　せっかくだから、私もシドーと一緒にやるぞ！　シドーと一緒にゲェムなのだ！
004_00_00_026_01|なん……だと……
004_00_00_058_01|むがむが……むがが！　……ごくん。　お、おお！　すまない、ぶつかってしまった！
004_00_00_059_01|うむ！　遅刻しそうなので、パンを咥えて走っていたら、　出会い頭にぶつかってしまったのだ！
004_00_00_060_01|わからん！
004_00_00_061_01|とにかく、パンを咥えて走って、　遅刻遅刻～というのは常識なのだ！　これでぶつかると、運命の出会いらしいぞ！
004_00_00_062_01|この後、シドーと私は、　教室で運命の再会をするのだ！
004_00_00_063_01|では、待っているぞシドー！
004_00_00_088_01|ええい、何をしているのだ美九！　さっさとシドーから離れんか！
004_00_00_091_01|ぐ……ぬぅ……
005_00_00_001_01|どうしたのだ？　ゲェムの映っていた画面が、　真っ暗になってしまったぞ！
005_00_00_030_01|どうなっているのだ、琴里、令音。　シドーはどうしたのだ？　眠っているようだが、起こせないのか？
005_00_00_035_01|では、シドーはこのままなのか！？　こ、このまま……目が覚めないなんてことは……
005_00_00_048_01|そ、それなら良いのだが……
005_00_00_059_01|むう？　一体どういうことなのだ、よしのんよ
007_00_00_020_01|良くわからんが、私は行くぞ！　ゲェムの中に入って、シドーを助けてくればいいのだろう！
007_00_00_028_01|ぬ。そういえば、　このゲェムは一人用なのだったな
007_00_00_034_01|うむ？　琴里、なんと言ったのだ？　よく聞こえなかったぞ
007_00_00_076_01|うむ！　ゲェムの中に入って、悪いヤツをやっつけて、　シドーを助けるのだ！
008_00_00_004_01|シドー！　ゲェムから助けに来たぞ！
008_00_00_010_01|何を言っているのだ鳶一折紙！　シドーは私が守る！　私の後ろに来るのだ！
008_00_00_030_01|む。愛というのはよくわからないが、　シドーと一緒にいると楽しいのだ！　それに、美味しいものをいつも食べさせてくれるしな！
008_00_00_070_01|待つのだ琴里！　何日もご飯が食べられないのか！？　それは困るぞ！
010_02_00_037_01|シドー！　おはようなのだ！
010_02_00_039_01|ぬ……いや、それなら大丈夫だぞ。　家を出る前に、琴里が説明してくれたからな。　普段通りに過ごせばいいと教えてくれたのだ！
010_02_00_041_01|うむ、任せるのだ！　シドーは私が守るからな！
010_02_00_048_01|よし、シドー！　[昼餉*ひるげ]にするのだ！
010_02_00_049_01|む？　では、いつもより、多く作ったのだな。　琴里の分もあるのだろう？
010_02_00_050_01|ふむう。そういうものなのか。　不思議だな。数が増えたら手間も増えそうだが
010_02_00_052_01|そ、そんなことはないぞ！　シドーは、私と[昼餉*ひるげ]を一緒にするのは嬉しいのだ！　弁当だって、美味しくなるのだぞ！
010_02_00_054_01|ふふん、貴様は馬鹿だな鳶一折紙！　いいか？　よく聞くのだぞ？　私がシドーとご飯を食べると、　いつもより美味しいと感じるのだ！
010_02_00_056_01|し、シドーだって同じなのだ！　そうに決まっている……。　ち、違うのか……シドー……？
010_02_00_057_01|ふふふ、どうだ、鳶一折紙！　シドーもこう言っているぞ！
010_02_00_060_01|なんだ？　それはなんなのだ！？
010_02_00_063_01|ぬぬ、八舞も来たか！　シドーは私と[昼餉*ひるげ]を共にするのだ！
011_03_00_002_01|う、うう……。　シドーに、恥ずかしいところを見られてしまった……
011_03_00_003_01|思い出すな！　あんな格好をシドーに見られては……うむぅ
012_04_21_018_01|シドー！　遅かったではないか。どこまで行っていたのだ？　もうお腹がぺこぺこだぞー！
012_04_21_019_01|うむ！　わかったのだ！
013_05_00_001_01|ふー、お腹いっぱいなのだ！　シドーの作る[夕餉*ゆうげ]は、いつでも最高だな！
013_05_00_005_01|うむ！
013_05_00_007_01|全然元の世界と変わらないのだ！　シドーの[夕餉*ゆうげ]も、弁当も、とても美味しかったぞ！
013_05_00_009_01|ただ、放課後、夢のようなことがあったぞ。　私が先生で、シドーが病気だったのだ
013_05_00_010_01|私は先生で、格好良かったのだが……。　少しだけ、恥ずかしいことになってしまったのだ……
013_05_01_001_01|シドー！　シドーもカァドゲェムに混ざらないか？
013_05_01_002_01|そうか。残念だな。　ではババ抜きとやらの続きをしてくる！
013_05_01_004_01|ぽぉかぁふぇいす？
013_05_01_005_01|なるほど、それは重要だな！
013_05_01_006_01|うむ、やってみる
013_05_90_001_01|どうしたのだ、シドー？
013_05_92_001_01|シドー。ここにいたのか
013_05_92_002_01|な、なんでもない。　シドーの姿が見えなかったので気になってな
013_05_92_003_01|う、うむ……。では、そうする。　だが、その前に……
013_05_92_004_01|あ、謝ろうと思って……だな
013_05_92_005_01|ほ、保健室でのことだ。　私は失敗してしまっただろう？
013_05_92_006_01|そうなのか……？　でも……
013_05_92_007_01|いや……さっぱりだ
013_05_92_008_01|やはり、私が失敗したのが原因なのではないか？　それでわからないのでは……
013_05_92_009_01|そ、そうなのか？　うむ……よくわからんな
013_05_92_010_01|う、うむ。今度は失敗しないように頑張るぞ
013_06_05_002_01|む、琴里……なんなのだ？　その恥ずかしいこととは？
013_06_05_005_01|……むぅ、わかった
013_06_24_003_01|ん、シドー？　いい菜漬けとは何だ？　厳選された素材でできた漬け物か？
015_02_00_006_01|む、シドー！　おはよう！　四糸乃は、先生になったのだ！
015_02_00_008_01|うむ。　小さいのに先生とは、四糸乃はかしこいのだな。　えらいぞ！
015_02_00_045_01|む？　シドー！　なぜそんなに鳶一折紙とくっついているのだ？　ずるいぞ、鳶一折紙！　私もシドーとくっつく！
015_02_00_047_01|ぬ……なら、鳶一折紙が離れればよいだろう！
015_02_00_051_01|…………むう
015_02_00_068_01|何をしているのだ！　私がさっきから必死に我慢しているというのに！
015_02_00_090_01|シドー！　お昼だぞ！　[昼餉*ひるげ]にしよう！
015_02_00_092_01|むっ、鳶一折紙、貴様、　また私の邪魔を……！
015_02_00_103_01|シドー！　こっちだ、私の隣に座れ！　一緒に[昼餉*ひるげ]を満喫するのだ！
015_02_00_109_01|おお！　それ、私もやってみたいのだ！　シドー、ほら、これを食べてみろ！
015_02_00_114_01|そ、そんなのは駄目だ！　シドーの近くで食べる方が、ずっと美味しいのだぞ！
015_02_00_116_01|ぬ……それは、そうではないのだが……
015_02_00_131_01|ず、ずるいぞ琴里！　私もそれをやってみたい！
015_02_00_135_01|そうすれば、　シドーに、あ～ん、と食べさせることができるのか？
015_02_00_137_01|そうか！　まかせろ、私が美味しいものを作って、　シドーに、絶対あ～んをするのだ！
015_02_01_001_01|シドー！　何だ今のは！？
015_02_01_002_01|せっかくシドーにお淑やかで格好いいところを　見せるつもりでいたのに、なんだか上手く行かなかったぞ
015_02_01_003_01|本当か！　嬉しいぞ
016_03_00_004_01|うーむ、メニューはどうするか……。　む！　何やらいい匂いがするのだ！
016_03_00_005_01|シドー、シドー！　あの『いか焼き』というのはなんだ！？　美味しいものか？　美味しいものだろう！？
016_03_00_020_01|うむ！　これが美味しそうなのだ！　私はこれが食べたいぞ！
016_03_00_021_01|どうだ、シドー！　美味しそうだろう？　焼いても、煮ても、お肉は美味しいのだ！
016_03_00_023_01|なっ、なんだと……！？
016_03_00_025_01|ぐぬぬ……。　わ、私は美味しいものを選んでいるのだ！　シドーだって美味しいものは好きなのだぞ！
016_03_00_029_01|そ、そうだったのか……！　ぐぬぬ、ならば鳶一折紙、　おまえは何を選ぶというのだ！？
016_03_00_031_01|ぬ！？　どういうことだ！？
016_03_00_035_01|ぬう……だが、鳶一折紙――おまえには足りないものがある！
016_03_00_037_01|ふふふ……今日、授業で四糸乃が教えてくれたのだ。　『好きこそものの上手なれ』　――私は、鳶一折紙より、食べるのが好きだ！
016_03_00_045_01|むむむ……むむ！　――これだ！　このお肉が一番美味しそうなのだ！！
016_03_00_048_01|なっ、なんだと！？　私の料理ではないというのか、シドー！？
016_03_00_055_01|そうか。　それなら、負けてしまったのもわかる。　それに、美味しそうだったのだ！
016_03_01_001_01|おお、シドー！　今私が極上の肉を食わせてやるから待っているのだ
016_03_01_002_01|何を言っているのだ？　シドーと一緒に行ったスーパーに売っていたぞ
016_03_01_003_01|精肉コーナーの店員に頼んだら　業務用というのを出してきてくれたのだ
016_03_01_004_01|見ていろシドー、今からこれを　この包丁で……
016_03_01_005_01|……う、うぬ……
016_03_01_006_01|ぬぬ……これはなかなか……
016_03_01_007_01|おお！　やったか！
016_03_01_008_01|むう。なかなか難しいな
016_03_01_009_01|よし、とにかく焼くとしよう
016_03_01_010_01|うんしょ、と
016_03_01_011_01|しかしシドー、仕方ないではないか。　フライパンにはのらないだろう？
016_03_01_012_01|むぅ……仕方ない。では、そうしよう
016_03_01_013_01|うむ！　今日は私が料理を作って振る舞うのだから、　シドーはあっちで待っていろ
016_03_01_014_01|任せろ！　シドーは安心して待っているがいい！
016_03_90_002_01|むむ、そんなものを作ったのは一体誰なのだ！
016_03_90_003_01|ううむ……ちゃんと七輪で焼いたのだが……
016_03_90_005_01|な、何を言う！　そういう貴様はどうなのだ、鳶一折紙！
016_03_90_021_01|待て、夕弦！　勝負は一品ではなかったのか！？
016_03_90_023_01|な……なんだと！？
016_03_90_037_01|シドー！　私のも！　肉だ、この肉を食べるのだ！
018_01_00_003_01|これは……なんということだ……！
018_01_00_007_01|だ、だがシドー！　こういうのは、いけないと聞いたぞ！
018_01_00_010_01|む？　体に聞くとはどういうことだ？　お腹から話を聞いたりできるのか？
018_01_00_011_01|シドーと一緒に寝てはいけないのだ。　私も一緒に寝ていいなら、シドーと寝たいのだが……。　男と女が同じ布団で寝てはならないと琴里が言っていたのだ！
018_01_00_019_01|なんだと……！　シドーと一緒に寝られるとは……うらやましいのだ！
018_01_00_021_01|うむ！　きっと寝るときも一緒の方が、嬉しいし、温かいのだ！
018_01_00_029_01|それで、シドーと一緒に寝てどんな感じだったのだ？　嬉しかったか？　寝ている時のシドーはどんな感じなのだ？
018_01_00_031_01|うむ！　今日は[朝餉*あさげ]も共にするのだ！
018_01_00_049_01|私も賛成だ！　学校は楽しいからな！
018_01_00_050_01|……うむ、わかったぞ！　任せろ！
019_02_91_019_01|うむ。どうしたのだ、シドー？
019_02_91_020_01|そうなのか？　先ほどは、何やら難しい知識を披露していたような
019_02_91_021_01|そうなのか。　私はわからないことも多いからな……　質問の内容に困ることはないぞ
019_02_91_022_01|だが、シドーに頼られたのだしな。　私のとっておきを或守に教えることにするぞ
019_02_91_024_01|うむ。或守よ、これなんて質問にはぴったりではないか？
019_02_91_026_01|なに……？　おぉ、この内容が答えなのか！　どこをどうすればそうなるのだ？
019_02_91_028_01|しまった。　結局何もできぬまま授業が終わってしまった。　すまぬ、シドー
019_02_91_029_01|ぬ、十分だと？　結局私は教えてもらってばかりだったぞ？
019_02_91_030_01|私が、凄い？　なんの話だ？
019_02_91_032_01|う、うむ。そうか？　それなら礼には及ばぬ。気にするな
019_02_91_035_01|うむ、わかった。　次の先生には私から説明しておくぞ！
019_02_92_005_01|……うん？　寝てない、寝てないぞ。　今のはちょっと目を閉じてただけで
019_02_92_006_01|おお、シドー。　どうしたのだ
019_02_92_007_01|うむ。そういうことなら任せておけ
021_04_01_001_01|お、おお、シドーか。　……おかえりなさい、だぞ
021_04_01_002_01|う、うむ。先ほどのデェトが終わった後、　気づいたらここにいたのだ。　……それで、あの、ご主人様？
021_04_01_003_01|ち、違うぞ、シドー！　私も少々間違えてしまっただけなのだ！
021_04_01_004_01|う、うむ。それがいいな！　そうしよう
021_04_01_005_01|でも、ああいうシドーも別に嫌いではない……
021_04_01_006_01|い、いや、なんでもない！　……それより、シドー。鞠亜がまだ戻っていないぞ
021_04_01_007_01|シドー、私も一緒に迎えに行くぞ
021_04_01_008_01|それもあるが……私も、もう少しシドーと一緒に居たいからな
021_04_01_009_01|ぬ？　どういうことだ、シドー？
021_04_01_010_01|うむ、鞠亜が見たがっているものか……。　よくわからんな
021_04_01_011_01|うむ。でもシドーは間違っていないと思うぞ。　今までも、シドーは上手くやってきたではないか。　私のことも救ってくれた。だから、大丈夫だ！
021_04_01_012_01|うむ、わかった！
021_04_01_018_01|こ、こら！　そろそろ離れるのだ！　シドーとあまりくっついていては……その、駄目だ！
021_04_01_020_01|うむ、よい返事だぞ。　シドー、鞠亜も見つかったのだし、帰って[夕餉*ゆうげ]にしよう！
022_01_00_003_01|うむ！　うまいぞ！　ソーセージとじゃがいもというのは、　素晴らしい組み合わせだな、一体誰が考えたのだ？
022_01_00_005_01|おお、そうか！　凄いやつらだな、ドイツ人は！
022_01_00_007_01|うむ、そうだな。たいしたものだ！　偉いな、或守は！
022_01_00_009_01|うむ！　おかわりなのだ！
022_01_00_016_01|おお！　待っていたのだ！　……む！　なんだこれは！？　チーズが乗っているぞ！？　すごいではないか！
022_01_00_018_01|わかる、わかるぞ！　トーストと、溶けたチーズだけのシンプルな、　こう……こう、なんだ……美味しいのだ！
022_01_00_022_01|む。そんなことより、大事なのは、　美味しいことなのだ！　サラダなのに、鶏肉も入っていて幸せだぞ！
022_01_00_029_01|ぬ。　シドー！　私のことも撫でるのだ！
023_02_00_001_01|シドー、提案がある！
023_02_00_002_01|うむ。デェトに行くのだ！
023_02_00_003_01|む、むう、駄目か……？
023_02_00_004_01|おお、なるほど……！
023_02_00_007_01|なにを言っている！　大体貴様は……
023_02_00_017_01|うむ、からおけは楽しいからな！
023_02_00_022_01|すごいぞシドー。　この部屋では歌い放題なのか
023_02_00_038_01|おお、シドー！　一緒に歌うのか。ちょうどよかった
023_02_00_039_01|それが困ったことに、　この本、知っている歌があまりないのだ……
023_02_00_040_01|うむ。シドーが知ってる曲でいいぞ！
023_02_00_041_01|大丈夫だ。シドーが歌っているのを聞きながら覚える。　歌詞はあの画面を見ていればよいのだろう？
023_02_00_042_01|シドー、謝ることないぞ！
023_02_00_043_01|……うむ。英語は少し苦手だ。　成績もそんなによくない
023_02_00_044_01|でも、やっぱり謝ることはないぞ。　シドーの真似をしてなんとなく歌ってるだけでも、　私は楽しかった！
023_02_00_045_01|シドー。よかったらもう一曲歌ってくれ。　シドーと一緒に歌ってるのはやっぱり楽しかった
501_01_01_020_01|む？　おお、シドーくんか。どうしたのだ？
501_01_01_021_01|ぬ。風邪か。それは大変だな
501_01_01_022_01|ただの風邪、などと侮ってはならんぞ。　風邪はほら、その、なんだ……あれだ。あれの元だ
501_01_01_023_01|うむ！　それだ！
501_01_01_024_01|だが、心配することはない。　この私に任せるがいいぞ、シドー！　いや、シドーくん！
501_01_01_025_01|む。それはいかんな。おそらく風邪が悪化したせいだろう
501_01_01_026_01|ふっ……何を言うのだ、シドーくんよ。　この私が言うのだから間違いないぞ。　なにしろ、私は保健の先生なのだ。眼鏡もかけているしな！
501_01_01_027_01|いいから、おとなしくするのだ。いいな？
501_01_01_028_01|……ふむ。　確かに少し、熱があるようだな
501_01_01_029_01|なるほど、重症だな
501_01_01_030_01|ああ、そうだ。一刻も早い治療が必要だぞ
501_01_01_031_01|まあ待て、まずは検査だ。そこに座るのだ、シドーくん
501_01_01_032_01|ふむ……。　顔が少し赤いな。口を開けてみろ
501_01_01_033_01|ふむ…………。　……うむ、虫歯はないようだな
501_01_01_034_01|おお、そうか！　そうだった、そうだった。　うむ、喉は腫れていないようだぞ
501_01_01_035_01|次は熱を計るぞ！　手で触ったのでは、きちんと計れないからな！
501_01_01_036_01|じっとしているのだ、シドーくん。　これが一番よく計れるのだぞ？
501_01_01_037_01|うむ。３７度２分なのだ
501_01_01_038_01|私のおでこは、正確な温度測定が可能なのだ。　保健の先生だからな！
501_01_01_039_01|よし……次はお腹を出すのだ、シドーくん
501_01_01_040_01|ふむふむ。あふっ、と
501_01_01_041_01|しっ、心配するな。私は、せ、先生だからな。　シドーくんの裸を見るくらい、平気だ！　全然ドキドキとかしないぞ！
501_01_01_042_01|み、見て欲しい……というのか？　シドーくんがそう言うのなら……私も、協力して、　し、シドーくんの恥ずかしいところを、全て見るのだ……！
501_01_01_043_01|……！！　やはり、シドーくんは重症だな……。　任せろ、私がちゃんと治療してやろう！
501_01_01_044_01|重症には包帯と相場が決まっているのだろう？　これでシドーくんを治療するのだ！
501_01_01_045_01|大丈夫だ。私に任せておくがいい
501_01_01_046_01|ここをこうして……こうで……あれ、おかしいぞ……？　む、いや、ここをこうすれば……ぬ？　ええいっ！　こうだ！
501_01_01_047_01|む……？　むむ、これは一体……
501_01_01_048_01|だ、大丈夫だ。この手をこっちに……ぬ、う、おかしいぞ。　……今度はこっちが……はうっ、ん……あんっ！
501_01_01_049_01|ならば、こっちを……くぅん！　ん、あ……んんっ……　はぅっ……お、おかしいな……
501_01_01_050_01|だ、大丈夫だ！　私は先生だしな……　んっ、くぅ……んっ、シドー、く、んっ、は、　そこで見ている……んっ……のだ……っ
501_01_01_051_01|んっ、そ、そうだ……そこで――んふっ！　み、見ていろ！　す、すぐに、ほどいて……あんっ
501_01_01_052_01|し、シドーくんは、そこで……見て、いろ……くんっ
501_01_01_053_01|ん……？　……！！
501_01_01_054_01|みっ、見るな！　見るんじゃないシドーくん！
501_01_01_055_01|……ふっ、くっ……こ、ここを外せれば……　あっ！　だめだ、今度は、こっちが……ひゃんっ！　あふっ！
501_01_01_056_01|く、食い込んで……ぇ……あ、は、あ……あっ！　だ、だめだ、これはだめ……あっ、だめぇ……！
501_01_01_057_01|ん……っ！　……ふっ……う……んんぅっ！　あっ！　ん……んっ、んっ……！　……はぁ、はぁ……
501_01_01_058_01|あっ……やっ……！　やんっ！　これは、んっ、んんっ……はぁ　……はぁ、ぁ……！
501_01_01_059_01|……んぁ、んっ……あ……はぁ……んぅっ！　……はぁ。……し、シドー……くん
501_01_01_060_01|……た、助けて、くれぇ……
501_01_01_061_01|……そ、そうだ、そこを、もっと…………んっ！　あっ、はぁ、　そ、そう……そっち……！
501_01_01_062_01|やっ、……もっと……優しく……お願いだ
501_01_01_063_01|はぁ……ん……あぅ、あ、あん……っ
501_01_01_064_01|ふぁ……はぁ……んっ！
501_01_01_065_01|うう……わ、私は先生なのに……
501_01_01_066_01|……やはり、自分で抜けるのは無理そうだな……。　シドーくん、助けてくれ……
501_01_01_067_01|どうした、シドーくん？　早くこれを外して欲しいのだ
501_01_01_068_01|うん……？　……。　……！！
501_01_01_069_01|みっ……見るな、シドーくん！
501_01_01_070_01|うっ、うう……。　じゃ、じゃあ……あまり見ないで、助けて欲しい
501_01_01_071_01|ひうっ！　そ、そこは……そこを引っ張ると、だ、だめなのだ　……あ、ひっ、ひんっ！
501_01_01_072_01|あんっ！　し、シドーくん……そこは……こ、こすれて……だ、　だめなのだ……！
501_01_01_073_01|やんっ！　は……はぁ……っ
501_01_01_074_01|あふっ……ん、そこを……そんなに、しては……駄目……なのだ。　ん……くすぐったくて……っつ！？
501_01_01_075_01|はぅ……はっ……あっ、……んっ！　ん……はぁっ！　あっ、あっ……はぅーっ！
501_01_01_076_01|ちょ……そんな、強く引っ張っちゃ……駄目なのだぁ……！
501_01_01_077_01|うむ…………。　……その、シドー……くん。　あ、あり……ありが、とう……
501_01_01_078_01|い、いや……いいのだ……。　……わ、私の方こそ……すまない
501_01_01_079_01|……ふぁ？
501_01_01_080_01|シドーくん！？
501_01_01_081_01|シドーくん……！？　仕方ない、こうなったら……手術しかないな！
501_01_01_082_01|し、しかしだな……。　私のせいで、そんなに悪化してしまったのだ……。　薬を飲ませるだけでは、私の気が済まないのだが……
501_01_01_083_01|むう……仕方ない……
501_01_01_084_01|早く、良くなるのだぞ、シドーくん。　私が、ちゃんと見ているからな
501_02_01_002_01|いらっしゃいませ。ようこそおいでくださいました
501_02_01_003_01|？　いかがいたしましたか？
501_02_01_004_01|あらお客様、お上手ですね。　私はこの店をやっております、十香と申します
501_02_01_005_01|はい。恥ずかしながら、私の名前が入っております
501_02_01_006_01|祖父ならば一昨年に亡くなりました
501_02_01_007_01|祖父が自分と私の名前にちなんで始めた店でしたが、　現在は、私がひとりで店番を務めさせていただいております
501_02_01_008_01|イヨーではなく、イヨです
501_02_01_009_01|いえ、大丈夫です。　不肖ながら、私めが精一杯ご案内させていただきます
501_02_01_010_01|いや私など、まだまだで……
501_02_01_011_01|え、あの……その……そう言われると、照れますね
501_02_01_012_01|どうか、しましたでしょうか？
501_02_01_013_01|……恐れいります
501_02_01_014_01|それでお客様。本日はどのような品をお探しですか？
501_02_01_015_01|お客様の妹様ならきっと可愛らしいお方でしょう。　ぴったりの食器がご案内できると思いますわ
501_02_01_016_01|それに当店にもさまざまな品がございます。　お値段もお手頃なものをご用意させていただきますわ
501_02_01_017_01|喜んで。どのような食器をお探しでしょうか
501_02_01_018_01|それでしたら、ちょうどよいものがございます。　こちらをご覧ください
501_02_01_019_01|１２本セットでございます
501_02_01_020_01|ああ、失礼。ティー違いでございましたね
501_02_01_021_01|それでしたら、右手をご覧ください
501_02_01_022_01|Ｔセットでございます
501_02_01_023_01|恐れいります
501_02_01_024_01|ああ、そちらの方でしたか
501_02_01_025_01|十香スペシャルセットです
501_02_01_026_01|紅茶を入れるものでしたら、こちらにございます
501_02_01_027_01|こちら、外国製の陶磁器となっております
501_02_01_028_01|マイ……？　ええ、今何と……？
501_02_01_029_01|う、うむ……。そのマイセンだと……思います
501_02_01_030_01|はい。それはもう。　かの有名なマイセンの焼き物に間違いございませんか？
501_02_01_031_01|ご安心くださいお客様。　当店はアンチィクチョップでございますから
501_02_01_032_01|当店はアンチィクチョップでございますから、　どの品も古美術と呼ぶにふさわしい　値打ちものばかりでございます
501_02_01_033_01|恐れいります
501_02_01_034_01|……それで、お客様がご所望のかつサンドですが
501_02_01_035_01|もぐもぐ……
501_02_01_036_01|うむ！　ちょっと小腹が空いていたの……です
501_02_01_037_01|おほん。ところで、そうそう。　ティーセットでございましたね
501_02_01_038_01|それはまたどうして？
501_02_01_039_01|これは面妖な……
501_02_01_040_01|ぬ、ぬぬ……
501_02_01_041_01|ま、待つのだ、客人よ！
501_02_01_042_01|……貴様、この店がたいしたことがないと思って、　ちょっとバカにしているだろう？
501_02_01_043_01|そこまで言うのなら、とっておきのティーセットを　見せてあげましょう
501_02_01_044_01|ふふふ、見たら驚くこと間違いなしですよ？
501_02_01_045_01|確か、この棚の上……少々お待ちを。　それ、ぐぐぐ……
501_02_01_046_01|あっ！？　し、しまった！？
501_02_01_047_01|茶道具ですか……
501_02_01_048_01|いいえ。奥の方の棚にございます。　どうぞご覧になってください
501_02_01_049_01|どうぞ、ご自由にお手にとってご覧ください
501_02_01_050_01|それは……木です
501_02_01_051_01|に、……日本の木でございます
501_02_01_052_01|ジャパンのツリィでございます
501_02_01_053_01|申し訳ありません。なにぶん古い物ですので……
501_02_01_054_01|恐れいります
501_02_01_055_01|はい。それは金属でできてございます
501_02_01_056_01|それはもちろん、地球の金属でできております
501_02_01_057_01|アースのメタルでございます
501_02_01_058_01|ガイアの輝きでございます
501_02_01_059_01|恐れいります
501_02_01_060_01|そちらは有田焼でございます。　エコポーセリン陶土を使用した量産品ですが
501_02_01_061_01|染付は伝統的な鍋島様式の焼成技法で職人が行なっており……　大変鮮やかながら落ち着きある色味が風雅でございます
501_02_01_062_01|恐れいります
501_02_01_063_01|いえいえ、お気になさらず
501_02_01_064_01|……で、いかがでしょうお客様。　お気に召したものはございましたでしょうか
501_02_01_065_01|ごゆっくり……
501_02_01_066_01|！　晩御飯っ！？
501_02_01_067_01|……いえ
501_02_01_068_01|そのようなことはございません
501_02_01_069_01|……
501_02_01_070_01|！　ハンバーグ！？
501_02_01_071_01|そ、そのようなことはござりませぬ
501_02_01_072_01|……ぬ？
501_02_01_073_01|ぬ。そ、そうか……じゃなかった、そうですか？　そうおっしゃらずにもう少しご覧になっては……
501_02_01_074_01|ああっ！？　ま、待ってください！　お客様……いえ、ハンバーグ！
501_02_01_075_01|え？　きゃあぁぁぁ！？
501_02_01_076_01|給餌器？　妹様用のをお探しでは？
501_02_01_077_01|そういうことでしたら、こちらなどいかがでしょう？　ヴィンテージ調にあつらえた　ステンレス製フィーダーでございます
501_02_01_078_01|お買い上げありがとうございます
501_03_01_001_01|は、はい……ご主人様……
501_03_01_002_01|そ、そんなに見つめるな……。　は、恥ずかしいではないか……
