Ri04_06_001|あら、心配事はそれだけでして？
504_02_04_038_04|よ、喜んでなんかいませんわっ
504_02_04_039_04|はぅあっっ
504_02_04_040_04|この子、すりすりしてきますわ
504_02_04_041_04|い、いつまで見ておられますの、士道さんっ。　もう、放っておいてくださいましっ
504_02_04_042_04|だ、だめですわよ、そんなこと！　やったら、いくら士道さんでも許しませんわよ！
504_02_04_043_04|そ、そうしてくださいっ
504_02_04_044_04|にゃぁぁんっ
504_02_04_045_04|にゃーにゃー
504_03_04_007_04|？　あら、士道さん。いらっしゃい
504_03_04_008_04|だって玄関まで行くのが面倒なんですもの。　あ、適当に座ってくださいまし
504_03_04_009_04|そんなことはありませんわ。　この、わたくしのとなりのあたりなら大丈夫ですわよ
504_03_04_010_04|普段はもう少しマシですのよ。　今は両親が旅行に出ていますから……
504_03_04_011_04|熱海に３泊４日ですわ
504_03_04_012_04|そんなことより士道さん。いいところに来ましたわ。　ちょっとイフリートの角狩るのを手伝ってくれませんこと？　一人では効率が悪くて……
504_03_04_013_04|ええ～っ、面倒くさいですわ……
504_03_04_014_04|んもう、口うるさい幼馴染ですわね
504_03_04_015_04|しょーがありませんわね、あと一体狩ったら手伝ってあげますわ
504_03_04_016_04|何がですの？
504_03_04_017_04|いいではありませんの、部屋の中なんですから。　どうせ誰も来ないですし
504_03_04_018_04|ああ、もう。士道さんがうるさいから　やられてしまったではありませんの
504_03_04_019_04|どうぞ、ご勝手に……
504_03_04_020_04|そうですけど？　あ、昨日の夜はハンバーガーでしたわ
504_03_04_021_04|冷蔵庫には何もありませんわよ
504_03_04_022_04|じゃあついでに、ジュースとアイスと　あと何かスナック菓子も買ってきてくださいませんこと？
504_03_04_023_04|あとマンガとゲームとアニメのブルーレイも
504_03_04_024_04|……仕方ありませんわね。あとで通販しますわ
504_03_04_025_04|あ～、またやられてしまいましたわぁ
504_03_04_026_04|テキトーに捨ててしまってくださいます？
504_03_04_027_04|ああそれ、まだ入ってますわ
504_03_04_028_04|いいんですの！　とにかくそれはあとで使いますから　取っておいてくださいまし
504_03_04_029_04|ああっもうっ。雑魚がうざいですわ雑魚が
504_03_04_030_04|……士道さん。何をブツブツ言ってますの？　気味が悪いですわよ、乙女の部屋で
504_03_04_031_04|ええ～ベッドの下……はっ！
504_03_04_032_04|し、士道さん……それを見てはいけませんわ
504_03_04_033_04|ち……違いますわっ。ア、アルバムが入ってますの
504_03_04_034_04|そ、そうです……わたくしと、　士道さんの小さい頃の
504_03_04_035_04|駄目ですわっ！　……その、恥ずかしいじゃありませんの
504_03_04_036_04|な、なんでもです……っ！
504_03_04_037_04|よほひく～
504_03_04_038_04|べふに、ひいじゃないふぇふの。　……ごくん。作ったらここに持ってきてくださいまし
504_03_04_039_04|わたくし、今忙しいんですの
504_03_04_040_04|なんです？
504_03_04_041_04|んもう。失礼してしまいますわ、士道さん。　わたくし、これでも女の子ですのよ？
504_03_04_042_04|お風呂くらいはちゃんと入ってますわ。　えっと、かれこれ……七十時間くらい前に
504_03_04_043_04|大丈夫ですわよ、三日くらい。　たいして汗をかいたわけでもなし。　何なら、匂いを嗅いでみまして？
504_03_04_044_04|士道さんならやりかねませんわ！
504_03_04_045_04|口うるさい幼馴染ですわねぇ
504_03_04_046_04|だって士道さん、　なんでも細かくチェックしすぎなんですもの
504_03_04_047_04|ええ～？
504_03_04_048_04|面倒ですわぁ～
504_03_04_049_04|士道さん、一緒に入って洗ってくださいまし～
504_03_04_050_04|あら？　士道さんはわたくしとお風呂に入るの、嫌ですの？　昔はよく一緒に入ったものですのに……
504_03_04_051_04|わたくし、士道さんが一緒に入ってくれなきゃ　お風呂嫌ですぅ
504_03_04_052_04|ぶー
504_03_04_053_04|んー。じゃあ……お風呂場まで連れてってくださいまし
504_04_04_003_04|士道さん、ちょっとよろしいですか？
504_04_04_004_04|着替えましたわ。これからすぐに　出かける用事がありますので
504_04_04_005_04|ええ。大事な用ですから
504_04_04_009_04|……あなた
504_04_04_011_04|確か……殿様さんといいましたかしら？
504_04_04_013_04|申し訳ないですが、消えてくださいますか？　わたくしは今、士道さんとお話していますので
504_04_04_015_04|もう、そのちょっとは終わりですわ。　早くしないと……ふふ。　わたくし、路上に赤い花を咲かせたくなってきましたわ
504_04_04_017_04|あら、そうですか？　わたくしは、素直に気持ちを伝えているだけですわ
504_04_04_018_04|そう……では参りましょう、士道さん
504_04_04_019_04|ええ。ですから、これから参りますわ。　士道さんの家に
504_04_04_020_04|わたくし、これから士道さんの家に　遊びに行きますの
504_04_04_021_04|あら？　いけませんこと？
504_04_04_022_04|ふふ……では、[いつもみたいに*・・・・・・・]
504_04_04_023_04|お邪魔いたしますわ
504_04_04_024_04|士道さぁ～ん
504_04_04_025_04|あぁん。士道さんが抱っこしてくれないから　寂しかったですわぁ
504_04_04_026_04|だってだって、学校じゃ抱っこしてくれないんですもの
504_04_04_027_04|だからいつも学校ではおとなしくしているではありませんの
504_04_04_028_04|学校では士道さん成分が足りなくていらいらしてしまって。　早くしてください士道さん……でないとわたくし、　悲しいですわ。泣いてしまいますわ
504_04_04_029_04|ふみゅぅん……士道さぁん、　もっと抱っこしてくださいまし
504_04_04_030_04|いいんですぅ。このままお話いたしましょう
504_04_04_031_04|士道さんが決めてくださいな。　わたくしは士道さんとならどんなお話でも楽しいですわぁ
504_04_04_032_04|えぇ、あまりしていませんわね。　でも、別に授業をちゃんと聞いていれば、　学校のテストなんてさほど難しくありませんし
504_04_04_033_04|でも数学は少し苦手ですので、　士道さん、今度一緒にお勉強してくださいまし
504_04_04_034_04|ほんとにほんとですわよぉ
504_04_04_035_04|それはだ・め、です。今は抱っこの時間ですもの
504_04_04_036_04|士道さんが食べさせてくれるなら　なんでも食べますわぁ
504_04_04_037_04|ふふ、士道さん。あーん。　食べさせてください
504_04_04_038_04|？　ほかにどういう意味がありますの？
504_04_04_039_04|あら。もしかして、口移しということですの？　ふふ……それでも、もちろん構いませんわ
504_04_04_040_04|ふふ……士道さん。今、照れましたわね？　可愛いですわぁ。わたくし、士道さんを食べてしまいたいかも。　……なんて。ふふふふふふふふ……
504_04_04_041_04|あら、そんなことが知りたいんですの？
504_04_04_042_04|では、知りたくないんですの？
504_04_04_043_04|ふふ……そうですか。では……
504_04_04_044_04|教えてあげませんわ
504_04_04_045_04|ふふ……士道さんの色・情・魔
504_04_04_046_04|ええー！　駄目ですわ、物足りませんわ！
504_04_04_047_04|そんなこと言われましても、嫌なものは嫌です
504_04_04_048_04|……今日はずっと士道さんと一緒にいたいですわ
504_04_04_049_04|離れたくない……わかって、くれませんの？
504_04_04_050_04|……今日はお泊りしても、いいですわよね？
504_04_04_051_04|そんなの知りませんわっ
504_04_04_052_04|～～っ。だぁめっ
504_04_04_053_04|ご飯は出前にいたしましょう。　そうすれば抱っこしていられますわ
504_04_04_054_04|するんですわよぉ。　わたくしはずぅぅぅっと、士道さんと一緒がいいんですの
504_04_04_055_04|ふふふ……士道さぁん
504_04_04_056_04|なでなで……
504_04_04_057_04|頭をなでなでしてください、士道さん
504_04_04_058_04|はいっ
504_04_04_059_04|うぅぅん……
504_04_04_060_04|はぁい……気持ちいいですわ。　もっとして欲しいですわ
504_04_04_061_04|あぁ……幸せな気分ですわぁ……
504_04_04_062_04|ふふ……そうなんです。　あなたの狂三は甘えん坊なのですわ
504_04_04_063_04|ふふ……士道さん？
504_04_04_064_04|ふふ……だぁいすき、です
504_04_04_065_04|そんなことありませんわ。　士道さんは、ずぅっとわたくしと一緒ですわよ
504_04_04_066_04|ずぅっと一緒です。　ご飯もこのまま一緒に食べてくださいまし
504_04_04_067_04|ふふ……ずぅっと抱っこですわよ？
603_19_03_009_04|あら、士道さん。まさかあの方とご結婚されるだなんて。　本当に、罪作りな人ですわ
604_31_04_001_04|あら、おかしなことを言わないでくださいまし
604_31_04_002_04|士道さんは自分の彼女が訪ねてくるのが、　そんなに不思議なんですの？
604_31_04_003_04|あら、今更何を驚くことがあるんですの？
604_31_04_004_04|士道さんはわたくしの恋人。　お付き合いして、もう随分たつではありませんの
604_31_04_005_04|もう、心臓に悪いことはやめていただけます？
604_31_04_006_04|あら、それだけですの？
604_31_04_007_04|わたくしと士道さんの愛が結実し――　ようやく、士道さんとお付き合いすることができましたのに……
604_31_04_008_04|……この扱いは、あんまりですわ。　わたくし、とても残念な気持ちです
604_31_04_009_04|わたくしの想いを寝ぼけたくらいで踏みにじるなんて……　わたくし、悲しいですわ。泣いてしまいますわ
604_31_04_010_04|あら、本当になんでもしてくださいますの？
604_31_04_011_04|でしたら……今からわたくしとデートしてくださいまし
604_31_04_012_04|あら、駄目ですの？　それとも先ほどの言葉は偽りですの？
604_31_04_013_04|やっぱり士道さんは、わたくしのことなど、　どうでもいいんですのね……
604_31_04_014_04|ああ、悲しいですわ。泣いてしまいますわ
604_31_04_015_04|……まさか士道さん、ここで、なんて言いませんわよね？
604_31_04_016_04|では、決まりですわね。ふふっ
604_31_04_017_04|ええ、わかりました
604_31_04_018_04|いえ、今日はまだ……
604_31_04_019_04|はい、喜んで。　士道さんのお誘いですもの。断る理由なんてありませんわ
604_31_04_020_04|ええ。本当に
604_31_04_021_04|士道さん……。それで、まずはどちらに行かれますの？
604_31_04_022_04|――どこでも構いませんわ
604_31_04_023_04|士道さんと一緒なら、どこにいても楽しめますもの
604_31_04_024_04|どうかなさいまして？
604_31_04_025_04|ふふっ、では――よろしくお願いしますわ
604_31_04_026_04|ふふっ……どうかなさいまして？
604_31_04_027_04|わたくしたちは恋人同士なんですのよ？　腕を組むのなんて、当たり前の行動ですわ
604_31_04_028_04|ふふっ……士道さんって、本当に素敵な方ですわね
604_31_04_029_04|さあ、士道さん……まいりましょう？
604_31_04_030_04|では、今日は士道さんにお任せしますわ
604_31_04_031_04|士道さんのお気に入りですか。　ふふ……それは楽しみですわね
604_31_04_032_04|ねぇ、士道さん。　わたくし、欲しいものがあるのですけれど
604_31_04_033_04|このお店に付き合ってくださいまし
604_31_04_034_04|いえ、今日の目的はみ・ず・ぎ、ですわ
604_31_04_035_04|何か問題でもあるんですの？
604_31_04_036_04|当然、士道さんがわたくしに似合う水着を　選んでいただけますわよね？
604_31_04_037_04|時期外れではありますが、　今度オーシャンパークに連れていってくださいまし
604_31_04_038_04|それとも――前のデートのように、　下着を選んでいただく方がよろしいですか？
604_31_04_039_04|まぁ、冗談で言ってるわけではありませんわ
604_31_04_040_04|わたくし、士道さんが選んでくださった下着なら、　どんなものでも……
604_31_04_041_04|ええ、お好きなものを
604_31_04_042_04|ふふっ、そんなことおっしゃらずに……
604_31_04_043_04|あら、からかってなどいませんわ
604_31_04_044_04|ええ、よろしくお願いしますわ
604_31_04_045_04|ふふっ
604_31_04_046_04|なんだか、あっという間でしたわね
604_31_04_047_04|ええ、そうですわね
604_31_04_048_04|わたくしも……今日はとても楽しかったですわ
604_31_04_049_04|……士道さん？　どうかなさいまして？
604_31_04_050_04|どうしたんですの……？
604_31_04_051_04|……士道さん？
604_31_04_052_04|いったい、何に気を取られていらしたんですの？
604_31_04_053_04|ねえ、士道さん。先ほど、何に気を取られていましたの？
604_31_04_054_04|……
604_31_04_055_04|……
604_31_04_056_04|……士道さんがわたくしに謝られるようなことは、　ないと思いますわよ？
604_31_04_057_04|きひ、きひひ……そうですわねぇ
604_31_04_058_04|ふふ……もう、士道さんったら。　おかしな謝り方ですわね
604_31_04_059_04|そんな士道さんに免じて、今回の件は許して差し上げますわ
604_31_04_060_04|ええ。でも、女の子の心をないがしろにする士道さんには、　少しお仕置きをしないといけませんわね
604_31_04_061_04|別にたいしたことではありませんわ。　今から士道さんに、[証*・]を残します
604_31_04_062_04|では、こちらに……
604_31_04_063_04|何をするかは、すぐにわかりますわ
604_31_04_064_04|さあ、士道さん。こちらにいらしてください
604_31_04_065_04|ちゅっ……
604_31_04_066_04|士道さんったら、女の子みたいな声を出して……
604_31_04_067_04|ふふっ、可愛いですわ。とっても、可愛らしいです
604_31_04_068_04|ちゅっちゅ――
604_31_04_069_04|駄ァ目、ですわよ
604_31_04_070_04|うふふ……士道さんったら、だらしないですわね
604_31_04_071_04|でしたら、そろそろ証をつけて差し上げますわ
604_31_04_072_04|士道さんが、わたくしのものであるという証を――
604_31_04_073_04|すぐ終わりますわ。　ですから、動かないでくださいまし
604_31_04_074_04|――ちゅうっっ！
604_31_04_075_04|……これで、士道さんはわたくしのものですわ
604_31_04_076_04|……
604_31_04_077_04|……先程の続き、言ってはくれませんの？
604_31_04_078_04|……仕方がありませんわね
604_31_04_079_04|士道さんにそう言われたら、許さないわけにもいきませんし
604_31_04_080_04|でも、士道さん。　わたくし、士道さんを誰にも渡したくありませんの
604_31_04_081_04|ねえ、士道さん
604_31_04_082_04|少しの間だけで結構ですから、　目を瞑っていただけませんこと？
604_31_04_083_04|それは……お楽しみですわ
604_31_04_084_04|さあ、さあ。早く目を閉じてくださいまし
604_31_04_085_04|さあ……
604_31_04_086_04|ちゅっ……
604_31_04_087_04|これは、契約の証ですわ
604_31_04_088_04|わたくしと士道さんが繋がっているという、証
604_31_04_089_04|ですから、士道さん……　もっとはっきりと見えるよう、証をつけさせていただきますわ
604_31_04_090_04|士道さんが――わたくしのものであるという、　その証を……うふふ
604_31_04_091_04|ん……
604_31_04_092_04|わたくしのことを、感じてくださっているのですね。　……嬉しいですわ
604_31_04_093_04|ふぅん……はむ
604_31_04_094_04|愛しいですわ……わたくし、士道さんのことが、　愛しくて愛しくて、たまりませんの
604_31_04_095_04|――ちゅっ
604_31_04_096_04|……ふふふっ、これで、士道さんはわたくしのもの、　ですわ
604_31_04_097_04|ふふっ、さあ、そろそろ時間ですわ。　一緒に参りましょう……士道さん？
604_31_04_098_04|……ふふっ。今日は本当に楽しかったですわ
604_31_04_099_04|ねえ、士道さん
604_31_04_100_04|わたくし、士道さんに選んでいただいた水着を、　早く着てみたいですわ
604_31_04_101_04|ですから――今度は水着を着れるところがいいですわ。　連れていってくださいます？
604_31_04_102_04|うふふ、嬉しいですわ
604_31_04_103_04|士道さん？
604_31_04_104_04|その証、隠さないでくださいましね
604_31_04_105_04|ふふっ、それは、鏡を見ればおわかりになりますわ。　それでは、わたくしはそろそろ失礼いたしますわね
604_32_04_001_04|いいえ。わたくしも、つい先ほど来たところですわ
604_32_04_002_04|……どうかなさいましたの？
604_32_04_003_04|あら、もしかして、水着ですの？
604_32_04_004_04|うふふ、心配なさらなくても、　この間士道さんに選んでいただいた水着を、　ちゃんと持参しておりますわよ？
604_32_04_005_04|士道さんが、まさかあのような水着を選ばれるなんて……　わたくし、士道さんのことを少し見くびっておりましたわ
604_32_04_006_04|もちろん、冗談ですわ
604_32_04_007_04|申し訳ありませんわ。悪気はなかったんですのよ？
604_32_04_008_04|それでは士道さん、連れていってくださいまし
604_32_04_009_04|ふふっ、オーシャンパーク、　とても楽しみですわ
604_32_04_010_04|――ほら士道さん、これを
604_32_04_011_04|もちろんそれを、わたくしに塗っていただけるんですわよね？
604_32_04_012_04|わたくしだけでは届かない場所もありますし、　是非彼氏の士道さんにお願いしたかったのですけど……
604_32_04_013_04|わたくし、士道さんでしたら、　どこを触られても恥ずかしくありませんわ
604_32_04_014_04|ほら、お・ね・が・い、ですわ
604_32_04_015_04|……その気になってくれて、嬉しいですわ
604_32_04_016_04|まずは背中からお願いしますわ
604_32_04_017_04|ふふっ、どうかいたしましたの？
604_32_04_018_04|でしたら、そのままお願いしますわ
604_32_04_019_04|……っ！？
604_32_04_020_04|違いますわ。とても気持ちよくて……
604_32_04_021_04|さあ、士道さん。今度はもっと下の方も、　塗ってくださいまし
604_32_04_022_04|うぅんっ
604_32_04_023_04|あぅんっ
604_32_04_024_04|あぁん……
604_32_04_025_04|ええ、士道さん、とっても上手ですわ
604_32_04_026_04|わたくしのことは気にせず、このまま続けてくださいまし
604_32_04_027_04|次は――腰から足にかけてをお願いしますわ
604_32_04_028_04|……嫌ですの？
604_32_04_029_04|遠慮なさらず……続けてくださいまし
604_32_04_030_04|さあ……士道さん
604_32_04_031_04|……その気になってくれて、嬉しいですわ
604_32_04_032_04|まずは背中からお願いします
604_32_04_033_04|……え？
604_32_04_034_04|……なるほど
604_32_04_035_04|では、お願いしますわ
604_32_04_036_04|ちょっとお待ちくださいまし
604_32_04_037_04|ふふっ……いま準備しますわ
604_32_04_038_04|さあ……士道さん、お願いしますわね？
604_32_04_039_04|うふふ……士道さんの手の感触を直に味わえてしまうなんて。　わたくし、凄く運がいいですわね
604_32_04_040_04|んっ……はぁん
604_32_04_041_04|とっても上手ですわよ、士道さん……　そのまま続けてくださいまし
604_32_04_042_04|うぅんっ
604_32_04_043_04|うぅんっ
604_32_04_044_04|はぁん……
604_32_04_045_04|あらぁ……士道さん、どうなさいましたの？
604_32_04_046_04|それは士道さんがそういう触り方をされるからでしょう？
604_32_04_047_04|そう、士道さんの手の動きがとっても心地良いせいですわ。　最後まで……そのまま続けてくださいまし
604_32_04_048_04|満足できないというなら……背中が終わったあとに、　前の方も塗っていただいても、いいんですのよ？
604_32_04_049_04|あら、残念ですわ。もっと狂三の肌の感触を楽しみたい……　そう言ってくれた士道さんはどこに……
604_32_04_050_04|うふふ……仕方がありませんわね。　前だけで勘弁してあげますわ
604_32_04_051_04|もう、士道さんたら恥ずかしがり屋さんなんですから……。　では……残った部分をお願いしますわ
604_32_04_052_04|……すぅ……
604_32_04_053_04|……士道さん
604_32_04_054_04|……うぅん
604_32_04_055_04|……ずっと……
604_32_04_056_04|……ずっと、一緒に……
604_33_04_001_04|士道さん、こんばんは。夜分遅くに失礼しますわ
604_33_04_002_04|ええ、少し聞きたいことがありまして
604_33_04_003_04|士道さん、明日のご予定はいかがですこと？
604_33_04_004_04|あら、それなら好都合ですわ！
604_33_04_005_04|実はわたくし、士道さんにお願いがありまして
604_33_04_006_04|ええ。わたくし、一度でいいから士道さんの部屋に、　お邪魔したいと思っておりましたの
604_33_04_007_04|ええ、そうですわ。……もしかして、ご迷惑ですか？
604_33_04_008_04|まぁ、嬉しいですわ。　でしたら、明日――三時頃にお伺いしますわね
604_33_04_009_04|うふふ……それでは士道さん、ごきげんよう
604_33_04_010_04|こんにちは、士道さん
604_33_04_011_04|今日はお邪魔させていただきますわね
604_33_04_012_04|うふふ……士道さんったら……
604_33_04_013_04|うふふ、ここが士道さんの部屋ですのね？
604_33_04_014_04|そんなことありませんわ。とっても綺麗です
604_33_04_015_04|……ふぅん
604_33_04_016_04|それでしたら、わたくし、ケーキを持って参りましたの。　これも一緒にお願いしてよろしいですこと？
604_33_04_017_04|はい。お願いしますわ
604_33_04_018_04|わかりましたわ。でも、何を読んでも構いませんの？
604_33_04_019_04|……そうですの。それでは、遠慮なく見せていただきますわね
604_33_04_020_04|あら、士道さん
604_33_04_021_04|ああ、これですわね……ええと……
604_33_04_022_04|――『特別増刊、美人家庭教師と教え子の一線を越えた関係……　教え子の部屋で行われる内緒のヒ・メ・ゴ・ト』ですわ
604_33_04_023_04|士道さん、こういったシチュエーションがお好みでしたの？
604_33_04_024_04|特に美人教師が、誘うようにスカートをつまみ上げる姿は、　女性のわたくしから見ても――
604_33_04_025_04|雑誌や漫画を好きに見ていいということでしたので、　ベッドの中敷きの下から拝借させていただきました
604_33_04_026_04|妹さんがいらっしゃるんですもの。　簡単に見つかるようなところにはないと思いまして。　それに……
604_33_04_027_04|恋人の秘密を知りたいというのは、至極真っ当な欲求ですわ
604_33_04_028_04|それにしても……士道さんは、こういうのが、　好きなんですこと？
604_33_04_030_04|それでは士道さん……わたくしの質問に答えてくださいまし
604_33_04_031_04|こういうシチュエーションが好きなんですの？
604_33_04_032_04|こういうポーズ――士道さんは好きなのではありませんこと？
604_33_04_033_04|うふふ、正直におっしゃってくださって構いませんのよ？
604_33_04_034_04|まあ……
604_33_04_035_04|士道さん、そういう性癖ですのね？
604_33_04_036_04|ここには士道さん以外、　誰もいらっしゃらないというお話でしたわね？
604_33_04_037_04|それなら、士道さん……こういうのはいかがですこと？
604_33_04_038_04|あら、簡単なことでしてよ。　わたくしが再現にご協力して差し上げようかと思いまして
604_33_04_039_04|うふふ……士道さん、我慢しなくても――大丈夫でしてよ？
604_33_04_040_04|あら、もしかして……怒らせてしまいました？
604_33_04_041_04|ねえ……士道さん
604_33_04_042_04|……士道……さん
604_33_04_043_04|ごめんなさい。わたくし、　少し悪戯が過ぎてしまいましたわ
604_33_04_044_04|謝りますから……どうか、こちらを見てくださいまし
604_33_04_045_04|……決まってますわ
604_33_04_046_04|士道さんに対する謝罪の気持ちを表していますの
604_33_04_047_04|ほら、士道さん……もっと近くでじっくりと……
604_33_04_048_04|そんなことありませんわ……ほら
604_33_04_049_04|……士道さん
604_33_04_050_04|こちらを見てくださいまし
604_33_04_051_04|士道さん、そんなことおっしゃらずに……
604_33_04_052_04|ほら……好きなだけ、見ていいんですのよ？
604_33_04_053_04|ふふふっ……
604_33_04_054_04|……え？　きゃあっ！
604_33_04_055_04|わたくしとしては、このまま押し倒されても一向に構わなかった　のですけど
604_33_04_056_04|まったく……士道さんは、本当に奥手ですわね……
604_33_04_057_04|……そうですか。でも、今回限りにはしませんわよ？
604_33_04_058_04|あらあら……うふふ……
604_33_04_059_04|……本当に冗談でいいんですの？
604_33_04_060_04|わたくし、士道さんの正直な言葉が聞きたいですわ
604_33_04_061_04|うふふ……
604_33_04_062_04|うふふ、士道さんの熱い視線を感じますわ
604_33_04_063_04|そんな風に見られたらわたくし……なんだか、　はしたない気持ちになってしまいますわ
604_33_04_064_04|ほら、士道さん……わたくしのことを、もっと見て……
604_33_04_065_04|ねえ、士道さん……
604_33_04_066_04|もっと……近くでご覧にならなくて、よろしいんですこと？
604_33_04_067_04|なら、そこからでも見えるようにしますわ……
604_33_04_068_04|ほら……駄ァ目ですわよ？　もっと、もっとよく見てくださいまし
604_33_04_069_04|あらあら、残念……　邪魔が入ってしまいましたわ
604_33_04_070_04|でも……さきほどの士道さんの眼差し、素敵でしたわよ
604_33_04_071_04|とっても、積極的でしたから
604_33_04_072_04|わたくし、少々用事がありまして、　それが終わったあとでしたら
604_33_04_073_04|その日は――何かあるんですの？
604_33_04_074_04|まあ、覚えていてくださいましたの？
604_33_04_075_04|うふふ……嬉しいですわ。それに……
604_33_04_076_04|わたくし、今とっても幸せです
604_33_04_077_04|それで、士道さんは――
604_33_04_078_04|今日も、とても楽しかったですわ
604_33_04_079_04|……ふふっ
604_33_04_080_04|今日は……士道さんの性癖を知ることもできましたし、　大満足でした
604_33_04_081_04|――昼間の続き、いつにするか決めておいてくださいまし
604_33_04_082_04|うふふ……では士道さん、また……
604_34_04_001_04|あら……士道さん
604_34_04_002_04|もう、驚かさないでくださいまし
604_34_04_003_04|わたくし、士道さんが先に帰ったんじゃないかと、　心配してましたのよ？
604_34_04_004_04|わたくしを……手伝いに？
604_34_04_005_04|ええ、実は岡峰先生に頼まれて、　士道さんを探していましたの
604_34_04_006_04|わたくしも、呼んできてほしいとしか……　そういえば、士道さん……課題は提出されました？
604_34_04_007_04|もしかして、手を付けていないんですの？
604_34_04_008_04|わたくしが信じても仕方ないと思いますが……。　多分……といいますか間違いなくその件ですわね
604_34_04_009_04|あら、何がまずいんですの？
604_34_04_010_04|こればかりは忘れた士道さんの責任ですわよ？　そう言われても仕方ないのではありませんこと？
604_34_04_011_04|わたくしのせいで士道さんを悩ませてしまっている……　そういうことですの？
604_34_04_012_04|それで、士道さんはどうなさるおつもりですの？
604_34_04_013_04|……仕方ありませんわね。　わたくしに任せてくださいまし
604_34_04_014_04|わかりましたわ。それなら途中ですし、　わたくしも一緒に参ります
604_34_04_015_04|次の授業で使うプリントの整理ですわ。　それなりの量と重さだったので、手伝いが欲しかったのでしょう
604_34_04_016_04|士道さん、静かに。……聞こえますか？
604_34_04_019_04|――士道さん、急いでくださいまし
604_34_04_020_04|これから、どうしますの？
604_34_04_021_04|わかりましたわ
604_34_04_022_04|そういえば勢いでついてきましたけど……さっきの場所で、　わたくしが時間稼ぎをするという方法もありましたわね
604_34_04_023_04|どうかなさいましたの？
604_34_04_024_04|えっ？
604_34_04_025_04|士道さん、こっちに来てくださいまし
604_34_04_026_04|士道さん……駄目ですわ。　……来ますわよ！
604_34_04_029_04|士道さん、どうなさいますの？　このままでは、見つかってしまいますわよ？
604_34_04_030_04|……士道さん？
604_34_04_031_04|――え？
604_34_04_032_04|……士道さんらしくないですわね
604_34_04_033_04|隠れる場所なら、まだありますわ
604_34_04_034_04|ですから、どうか諦めないでくださいまし
604_34_04_035_04|それは――ここですわ
604_34_04_036_04|し、士道さん、ちょっと、動かないでくださいまし！
604_34_04_037_04|ひゃうっ、や、やめてくださいまし、　くすぐったいですわ
604_34_04_038_04|あん……士道さん。お願いですから、　あまり強く息を吹かないでくださいまし
604_34_04_039_04|士道さんの吐息がかかって――　脚がくすぐったいですわ
604_34_04_040_04|きゃっ！　……士道さん、もしかして……わざとやっているんですの？
604_34_04_041_04|ひゃ……！？　んもうっ！
604_34_04_042_04|ひあ……お、岡峰先生を……やり過ごすまでは、　どうか、我慢してくださいまし
604_34_04_043_04|わ、わたくしも……んっ、我慢しますから……ぁ……
604_34_04_044_04|いえ……ま、まだ教室の外で、立ち止まってますわ
604_34_04_045_04|どうやら……はぅ……っ……！　メールに返信しているみたいですわ
604_34_04_046_04|ちょ……士道さんっ、動かないでくださいまし！
604_34_04_047_04|ひぁぁぁっ……ッ！
604_34_04_048_04|駄目ですわっ……喋らないでくださいまし……。　士道さんの息が、太ももに――
604_34_04_049_04|……――大丈夫そうですわね
604_34_04_050_04|はい、行ってしまったようですわ
604_34_04_051_04|し、しし士道さん！？　お、お願いですから……話すなら、　教卓から出てからにしてくださいまし！
604_34_04_052_04|……っ！？
604_34_04_053_04|……士道さん？
604_34_04_054_04|方法って……何か考えがありますの？
604_34_04_055_04|助けると言いましても……どうすればいいんですの？
604_34_04_056_04|――！
604_34_04_057_04|あらあら、仕方ありませんわね
604_34_04_058_04|実はわたくしも、同じことを考えていましたの
604_34_04_059_04|うふふっ、わかりましたわ
604_34_04_060_04|それでは士道さん、失礼しますわね
604_34_04_061_04|士道さん、動かないでくださいまし
604_34_04_062_04|静かに。もうすぐ、岡峰先生が教室に――
604_34_04_064_04|あら、岡峰先生
604_34_04_066_04|ふふっ、少し調べものをしておりまして――
604_34_04_068_04|申し訳ありませんわ。わたくしが探し始めた頃には、　もう下校されていたみたいで――
604_34_04_071_04|な、なんでもありませんわ！　ゴミが顔に触れたみたいですの
604_34_04_074_04|あっ……はぁ、ふぁい
604_34_04_076_04|ほ、本当に、なんでもありませんから……
604_34_04_079_04|ひゃっ……は、うっ！
604_34_04_081_04|んぅっ、そう……なんですの。　少し……だけ……体調が、んくっ……優れないんですの
604_34_04_083_04|いいえ、あと少しだけやり残したことがありますので、　それを片付けてから……
604_34_04_085_04|い、いえ大丈夫ですわ！　クラス委員として、任された仕事を全うしたいんです
604_34_04_088_04|……わかりました。さようなら、岡峰先生……
604_34_04_089_04|ええ、とても良かったですわ
604_34_04_090_04|なんですの？
604_34_04_091_04|構いませんわ。　わたくしも士道さんのお役に立てて、嬉しかったですし
604_34_04_092_04|でも、今日は少し……やり過ぎですわ
604_34_04_093_04|ですから、今日のは貸し一つ……　ということにさせていただけませんこと？
604_34_04_094_04|はい……？　士道さん、もう一度言ってくださいませんこと？
604_34_04_095_04|もう、士道さんはすぐにそうやって誤魔化すんですから……
604_38_04_001_04|――士道さん、一つ、お聞きしたいことがあるんですの
604_38_04_002_04|実はわたくし……前から、　士道さんにお礼がしたいと思ってましたの
604_38_04_003_04|そうですわ
604_38_04_004_04|ええ。数えきれないほど、たくさん……
604_38_04_005_04|はい――たくさんの時間を
604_38_04_006_04|たくさんの幸せな時間を、士道さんからいただいておりますわ
